C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
88  |V* V406 And                        |EB*|02 35 25.6063535784 +45 56 03.151160988|     ~   |9.29     |9.19     |     ~   |     ~   |A              |  15|   0
89  |HD 16618                           |*  |02 41 08.2013361768 +43 25 58.930862628|     ~   |9.60     |9.53     |     ~   |     ~   |A              |   5|   0
90  |HD 275045                          |*  |03 15 11.3689156488 +41 35 43.735657524|     ~   |11.95    |11.60    |     ~   |     ~   |A              |   2|   0
91  |HD 275049                          |*  |03 15 20.9297932848 +41 31 10.668103392|     ~   |11.88    |11.64    |     ~   |     ~   |A              |   2|   0
92  |HD 275188                          |*  |03 21 03.3264300600 +40 07 07.033261512|     ~   |11.73    |11.90    |     ~   |     ~   |A              |   2|   0
93  |HD 275196                          |*  |03 20 02.6913385560 +39 46 53.774073912|     ~   |11.90    |11.38    |     ~   |     ~   |A              |   2|   0
94  |HD 275383                          |*  |03 27 25.1472203952 +39 12 31.217751000|     ~   |11.38    |10.78    |     ~   |     ~   |A              |   2|   0
95  |HD 229073                          |*  |20 21 25.5976597392 +39 48 34.529676084|     ~   |10.307   |10.17    |     ~   |     ~   |A              |   7|   0
96  |Cl* NGC 6910 SIC 14                |*  |20 21 05.0822608920 +40 42 20.781288720|     ~   |     ~   |     ~   |     ~   |     ~   |A              |   1|   0
97  |NGC 6910 36                        |*  |20 23 02.5786226952 +40 46 28.825240332|13.796   |13.773   |13.035   |     ~   |11.963   |A              |  11|   0
98  |HD 195746                          |*  |20 31 33.5648763096 +42 12 14.072152932|     ~   |8.53     |8.56     |     ~   |     ~   |A              |  18|   0
99  |HD 197679                          |*  |20 43 49.2827760120 +41 50 32.262897876|     ~   |8.44     |8.50     |     ~   |     ~   |A              |  14|   0
100 |HD 197559                          |*  |20 42 54.2454352968 +43 10 38.696337624|     ~   |8.41     |8.45     |     ~   |     ~   |A              |  15|   1
101 |[SKV93] 2-89                       |*  |20 54 25.0 +43 12 48                   |     ~   |     ~   |12.73    |     ~   |     ~   |A              |   1|   0
102 |2MASS J20555536+4321593            |*  |20 55 55.3762344288 +43 21 59.109117408|     ~   |     ~   |     ~   |     ~   |     ~   |A              |   2|   0
103 |HD 200509                          |*  |21 02 28.3556492208 +44 08 49.843620060|     ~   |8.98     |9.01     |     ~   |     ~   |A              |  10|   0
104 |HD 203078                          |*  |21 18 27.0665589696 +46 42 51.789784248|     ~   |9.50     |9.46     |     ~   |     ~   |A              |   5|   0
105 |HD 202584                          |*  |21 15 17.1696111144 +45 56 21.317853444|     ~   |9.21     |9.09     |     ~   |     ~   |A              |   6|   0
