C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='G'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
108 |BD+48 3154B                        |*  |20 31 15.4624774752 +49 14 03.562682964|     ~   |10.81    |10.18    |     ~   |     ~   |G              |   1|   0
109 |Cl Trumpler 37 32                  |PM*|21 08 50.7311190456 +56 47 42.022305888|     ~   |12.81    |11.37    |     ~   |     ~   |G              |   3|   0
110 |Cl Trumpler 37 362                 |*  |21 24 10.6056142272 +57 19 44.363215092|     ~   |12.14    |10.83    |     ~   |     ~   |G              |   2|   0
111 |Cl Trumpler 37 502                 |*  |21 42 50.1862206024 +57 28 32.033324172|     ~   |12.12    |10.84    |     ~   |     ~   |G              |   2|   0
112 |Cl Trumpler 37 374                 |*  |21 26 55.9558663680 +57 23 32.532049212|     ~   |12.7     |     ~   |     ~   |     ~   |G              |   1|   0
113 |Cl Trumpler 37 412                 |*  |21 33 03.740 +57 14 39.32              |     ~   |12.7     |     ~   |     ~   |     ~   |G              |   1|   0
114 |Cl Trumpler 37 160                 |*  |21 36 10.4700563304 +56 52 30.131908428|     ~   |12.9     |     ~   |     ~   |     ~   |G              |   1|   0
115 |Cl Trumpler 37 947                 |*  |21 23 09.0509980381 +58 35 12.280874569|     ~   |12.57    |11.67    |     ~   |     ~   |G              |   1|   0
116 |Cl Trumpler 37 971                 |*  |21 29 50.4464867496 +58 33 21.116769408|     ~   |12.9     |     ~   |     ~   |     ~   |G              |   1|   0
117 |Cl Trumpler 37 946                 |*  |21 22 57.7041064680 +58 32 40.567192980|     ~   |13.21    |12.50    |     ~   |     ~   |G              |   2|   0
118 |Cl Trumpler 37 1268                |*  |21 33 57.2942113872 +58 58 10.679287584|     ~   |12.45    |11.62    |     ~   |     ~   |G              |   1|   0
119 |Cl Trumpler 37 147                 |*  |21 33 07.1179091760 +56 47 12.284681100|     ~   |13.14    |12.08    |     ~   |     ~   |G              |   2|   0
120 |Cl Trumpler 37 394                 |PM*|21 30 08.0402580240 +57 25 11.511370776|     ~   |13.15    |11.70    |     ~   |     ~   |G              |   5|   0
121 |Cl Trumpler 37 648                 |*  |21 18 57.9585801024 +58 08 49.754799960|     ~   |13.0     |     ~   |     ~   |     ~   |G              |   1|   0
122 |Cl Trumpler 37 670                 |*  |21 28 17.9359767096 +58 00 58.120820316|     ~   |12.77    |11.75    |     ~   |     ~   |G              |   3|   0
123 |Cl Trumpler 37 695                 |*  |21 33 58.0556322168 +57 52 06.435843636|     ~   |13.0     |     ~   |     ~   |     ~   |G              |   1|   0
124 |Cl Trumpler 37 142                 |*  |21 31 33.3427985928 +57 01 08.771649276|     ~   |13.1     |     ~   |     ~   |     ~   |G              |   1|   0
125 |Cl Trumpler 37 697                 |*  |21 34 16.8047390160 +57 59 11.315653548|     ~   |13.1     |     ~   |     ~   |     ~   |G              |   1|   0
126 |Cl Trumpler 37 443                 |*  |21 36 48.2650188456 +57 39 18.455376924|     ~   |11.67    |10.47    |     ~   |10.06    |G              |   4|   0
127 |HD 239781                          |*  |21 50 44.4256665720 +58 55 27.349103316|     ~   |10.97    |10.44    |     ~   |     ~   |G              |   2|   0
128 |Cl Trumpler 37 1794                |*  |21 42 21.6984191328 +60 05 15.770464656|     ~   |12.72    |11.73    |     ~   |     ~   |G              |   2|   0
129 |Cl Trumpler 37 1560                |*  |21 44 56.8387558128 +59 20 12.807184956|     ~   |13.24    |12.05    |     ~   |     ~   |G              |   2|   0
130 |Cl Trumpler 37 1037                |*  |21 41 59.4089688192 +58 14 47.740626816|     ~   |12.70    |11.25    |     ~   |     ~   |G              |   2|   0
