C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='G'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
364 |HD 163859                          |PM*|17 47 19.0918032552 +78 23 28.800767148|     ~   |9.24     |     ~   |8.1      |     ~   |G              |  39|   0
365 |TYC 4533-668-1                     |*  |06 20 23.1357372792 +79 50 32.041864644|     ~   |11.56    |11.03    |     ~   |     ~   |G              |   1|   0
366 |TYC 4525-466-1                     |*  |06 34 51.9762065832 +76 14 07.586964168|     ~   |11.96    |10.45    |     ~   |     ~   |G              |   1|   0
367 |HD 42557                           |PM*|06 17 55.0813058208 +70 58 53.614691940|     ~   |9.55     |9.04     |     ~   |     ~   |G              |   2|   0
368 |BD+65 516                          |*  |06 12 48.1763644512 +65 47 16.528272936|     ~   |10.29    |9.03     |     ~   |     ~   |G              |   1|   0
369 |AG+48 1344                         |*  |17 46 45.6215994048 +48 55 58.243100952|     ~   |12.5     |11.6     |     ~   |     ~   |G              |   1|   0
370 |BD+66 1029                         |*  |17 31 40.7282867256 +66 30 00.623258496|     ~   |10.86    |10.36    |     ~   |     ~   |G              |   1|   0
371 |HD 159539                          |*  |17 29 39.4650315168 +68 47 39.608785032|     ~   |9.58     |9.14     |     ~   |     ~   |G              |   4|   0
372 |BD+67 990                          |*  |17 07 38.6103125160 +67 15 52.493384556|     ~   |9.95     |9.51     |     ~   |     ~   |G              |   1|   0
373 |1E 170606+7107.1                   |*  |17 05 30.0 +71 03 12                   |     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
374 |[HHW91] 170955.53+710002.14        |*  |17 09 26.3 +70 56 27                   |     ~   |11.72    |10.86    |     ~   |     ~   |G              |   4|   0
375 |HD 145402                          |PM*|15 55 28.8108865680 +82 42 16.164075780|     ~   |9.41     |8.84     |     ~   |     ~   |G              |   3|   0
376 |HD 142498                          |*  |15 32 15.2395410744 +85 14 27.603879612|     ~   |9.27     |8.71     |     ~   |     ~   |G              |   5|   0
377 |HD 106018                          |SB*|12 10 46.1724045456 +85 42 18.307839636|     ~   |9.17     |8.77     |     ~   |     ~   |G              |   8|   0
378 |HD 120146                          |*  |13 35 43.7911301592 +85 15 22.486061304|     ~   |9.38     |8.88     |     ~   |     ~   |G              |   3|   0
379 |HD 83223                           |*  |09 50 15.7152438216 +84 20 38.465459844|     ~   |9.74     |8.79     |     ~   |     ~   |G              |   2|   0
380 |HD 77325                           |** |09 14 34.2028 +82 52 58.224            |     ~   |9.72     |9.25     |     ~   |     ~   |G              |   5|   0
381 |TYC 4631-2855-1                    |*  |08 24 33.4727817912 +82 36 46.974557196|     ~   |11.84    |11.24    |     ~   |     ~   |G              |   1|   0
382 |AG+79 245                          |** |07 55 23.919552 +79 33 14.90508        |     ~   |11.769   |11.217   |11.124   |     ~   |G              |   3|   0
383 |HD 60403                           |*  |07 43 51.1097958168 +77 52 38.679726504|     ~   |9.73     |9.24     |     ~   |     ~   |G              |  12|   0
384 |HD 60577                           |*  |07 44 40.8512657256 +77 46 41.516615964|     ~   |9.81     |9.25     |     ~   |     ~   |G              |  12|   0
385 |HD 50603                           |*  |07 01 21.2461722216 +73 39 18.020686716|     ~   |9.60     |9.06     |     ~   |     ~   |G              |   2|   0
386 |HD 44296                           |*  |06 25 59.3142015480 +65 54 09.973091952|     ~   |10.28    |9.74     |     ~   |     ~   |G              |   2|   0
387 |HD 44754                           |*  |06 28 28.0003752816 +65 42 02.463896556|     ~   |10.09    |9.58     |     ~   |     ~   |G              |   3|   0
388 |BD+67 448                          |*  |06 47 31.5171389112 +66 54 04.666080816|     ~   |10.62    |10.09    |     ~   |     ~   |G              |   1|   0
389 |TYC 4109-341-1                     |*  |06 48 03.9974239032 +66 43 04.525797612|     ~   |11.59    |11.06    |     ~   |     ~   |G              |   2|   0
390 |HD 46759                           |*  |06 39 55.8549786648 +65 02 08.036311704|     ~   |9.89     |9.42     |     ~   |     ~   |G              |   2|   0
391 |HD 45204                           |*  |06 31 01.0325797043 +64 53 48.098830730|     ~   |9.78     |9.25     |     ~   |     ~   |G              |   2|   0
392 |HD 46940                           |*  |06 40 52.4493137328 +64 39 57.487701384|     ~   |9.92     |9.19     |     ~   |     ~   |G              |   3|   0
393 |TYC 3772-1623-1                    |*  |06 17 49.0463106672 +56 57 51.162333228|     ~   |11.64    |11.48    |     ~   |     ~   |G              |   1|   0
394 |HD 158754                          |*  |17 28 33.7702051032 +46 50 32.438668956|     ~   |11.22    |10.68    |     ~   |     ~   |G              |   4|   0
395 |HD 158607                          |** |17 28 03.79 +46 16 48.9                |     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
396 |HD 159625                          |*  |17 33 23.2068638112 +45 50 45.570380676|     ~   |10.79    |10.39    |     ~   |     ~   |G              |   3|   0
397 |HD 158192                          |*  |17 25 44.9139493944 +45 22 41.871117648|     ~   |10.82    |10.44    |     ~   |     ~   |G              |   2|   0
398 |BD+63 1317                         |PM*|17 00 09.0315476904 +62 58 42.932545716|     ~   |11.26    |10.68    |     ~   |     ~   |G              |   1|   0
399 |BD+65 1145                         |*  |16 46 32.0890228632 +65 42 53.643667608|     ~   |11.04    |10.61    |     ~   |     ~   |G              |   2|   0
400 |BD+84 277                          |*  |12 23 35.5693218672 +84 02 03.773535972|     ~   |11.60    |10.99    |     ~   |     ~   |G              |   1|   0
401 |HD 107902                          |*  |12 22 21.6321185208 +82 39 26.020935864|     ~   |9.33     |8.95     |     ~   |     ~   |G              |  10|   0
402 |BD+82 359                          |*  |12 13 13.5223976904 +81 37 55.232861664|     ~   |10.80    |10.25    |     ~   |     ~   |G              |   1|   0
403 |BD+82 352                          |*  |11 58 17.2072911528 +81 43 58.506770676|     ~   |11.29    |10.72    |     ~   |     ~   |G              |   2|   0
404 |HD 82754                           |*  |09 43 03.6424966872 +81 34 03.580253400|     ~   |9.77     |9.26     |     ~   |     ~   |G              |   3|   0
405 |HD 58357                           |PM*|07 33 36.3810210744 +76 01 11.717290740|     ~   |9.80     |9.09     |     ~   |     ~   |G              |   3|   0
406 |HD 59797                           |PM*|07 38 37.4869801944 +73 20 58.340853780|     ~   |9.80     |9.14     |     ~   |     ~   |G              |   3|   0
407 |HD 49879                           |*  |06 55 26.6358168264 +65 37 58.689479388|     ~   |10.08    |9.79     |     ~   |     ~   |G              |   2|   0
408 |HD 49115                           |PM*|06 51 10.4080803048 +63 03 36.354470652|     ~   |     ~   |     ~   |8.8      |     ~   |G              |  16|   0
409 |BD+63 667                          |*  |06 56 57.0330672552 +63 19 31.052684496|     ~   |10.90    |10.45    |     ~   |     ~   |G              |   1|   0
410 |HD 49694                           |*  |06 53 55.3488726912 +62 16 15.584113380|     ~   |9.68     |9.31     |     ~   |     ~   |G              |   3|   0
411 |HD 48528                           |PM*|06 47 23.2987278336 +57 39 44.296136604|     ~   |9.57     |9.00     |     ~   |     ~   |G              |   3|   0
412 |HD 233268                          |PM*|06 40 49.5460680624 +54 59 17.031413220|     ~   |10.88    |10.29    |     ~   |     ~   |G              |   3|   0
413 |TYC 3766-1896-1                    |*  |06 41 51.9417659592 +53 18 46.206238284|     ~   |11.58    |11.16    |     ~   |     ~   |G              |   1|   0
414 |HD 233251                          |Pe*|06 30 29.7080360616 +52 07 17.967559296|     ~   |10.97    |9.92     |     ~   |     ~   |G              |   3|   0
415 |TYC 3388-663-1                     |*  |06 30 25.2250999392 +52 07 43.307215464|     ~   |11.26    |10.58    |     ~   |     ~   |G              |   1|   0
416 |TYC 3376-1058-1                    |*  |06 25 00.0773019552 +45 18 26.926902216|     ~   |11.93    |11.26    |     ~   |     ~   |G              |   3|   0
417 |HD 46236                           |*  |06 34 37.2754003392 +46 05 01.957806420|     ~   |9.79     |9.27     |     ~   |     ~   |G              |   2|   0
418 |BD+45 1312                         |*  |06 31 32.3568144072 +45 44 57.688239084|     ~   |10.88    |9.51     |     ~   |     ~   |G              |   1|   0
419 |HD 156450                          |*  |17 15 23.0002275408 +46 12 30.687059592|     ~   |10.91    |10.48    |     ~   |     ~   |G              |   2|   0
420 |HD 157307                          |*  |17 20 13.7288379816 +46 53 29.152446792|     ~   |11.19    |10.69    |     ~   |     ~   |G              |   2|   0
421 |HD 156858                          |*  |17 17 47.4449470488 +45 22 28.903556172|     ~   |10.99    |10.50    |     ~   |     ~   |G              |   2|   0
422 |BD+46 2279                         |*  |17 12 32.8221924864 +46 29 12.801282036|     ~   |11.80    |11.28    |     ~   |     ~   |G              |   1|   0
423 |HS 1721+4624                       |*  |17 23 06.2381091960 +46 22 06.667097232|     ~   |18.1     |     ~   |     ~   |     ~   |G              |   1|   0
424 |HS 1707+4955                       |*  |17 08 50.3 +49 51 50                   |     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
425 |HD 150842                          |*  |16 39 36.6309195336 +62 19 19.478233704|     ~   |9.43     |8.60     |     ~   |     ~   |G              |   2|   0
426 |BD+65 1121                         |*  |16 27 16.6124635368 +65 35 31.965671040|     ~   |10.16    |9.70     |     ~   |     ~   |G              |   1|   0
427 |HD 150707                          |*  |16 38 16.3750375248 +65 25 34.460610852|     ~   |9.42     |9.01     |     ~   |     ~   |G              |   4|   0
428 |HD 149104                          |*  |16 28 32.8766902296 +62 58 43.831579512|     ~   |10.26    |9.82     |     ~   |     ~   |G              |   3|   0
429 |TYC 4419-2618-1                    |*  |16 14 12.4792942344 +68 12 53.427115404|     ~   |11.41    |10.56    |     ~   |     ~   |G              |   2|   0
430 |HD 148508                          |*  |16 23 57.2802601152 +66 43 33.720496212|     ~   |9.59     |9.15     |     ~   |     ~   |G              |   5|   0
431 |BD+80 392                          |*  |12 43 30.5103046848 +79 39 12.477289824|     ~   |11.50    |10.98    |     ~   |     ~   |G              |   1|   0
432 |TYC 4541-1620-1                    |*  |09 14 40.5332814984 +77 21 15.303358368|     ~   |11.15    |10.49    |     ~   |     ~   |G              |   2|   0
433 |BD+79 315                          |*  |09 41 05.8986187392 +78 41 35.636666172|     ~   |10.42    |9.93     |     ~   |     ~   |G              |   1|   0
434 |HD 85927                           |PM*|10 00 29.8130127048 +77 49 51.416515560|     ~   |9.83     |9.30     |     ~   |     ~   |G              |   3|   0
435 |HD 78992                           |*  |09 18 09.2421566136 +77 27 42.655831848|     ~   |9.66     |9.01     |     ~   |     ~   |G              |   4|   0
436 |TYC 4544-1418-1                    |*  |08 55 51.5079217464 +77 43 16.923007992|     ~   |10.92    |10.58    |11.4     |     ~   |G              |   2|   0
437 |HD 80579                           |PM*|09 26 33.2194569168 +76 02 29.677104852|     ~   |10.06    |9.31     |     ~   |     ~   |G              |   3|   0
438 |HD 72457                           |PM*|08 39 59.9333680392 +75 46 28.255775736|     ~   |9.71     |9.20     |     ~   |     ~   |G              |  11|   0
439 |HD 74501                           |*  |08 51 00.1522451544 +75 28 01.494480252|     ~   |9.96     |9.49     |     ~   |     ~   |G              |   3|   0
440 |TYC 4540-2713-1                    |*  |08 49 30.9495335520 +75 07 23.204292492|     ~   |11.71    |10.59    |     ~   |     ~   |G              |   1|   0
441 |HD 67344                           |PM*|08 12 48.9426965808 +70 08 55.156060140|     ~   |9.26     |8.81     |     ~   |     ~   |G              |   4|   0
442 |HD 60613                           |** |07 40 01.05537 +66 03 01.0412          |     ~   |9.637    |9.028    |9.098    |     ~   |G              |  23|   0
443 |HD 61476                           |*  |07 44 08.9221219464 +66 27 06.384893364|     ~   |9.78     |8.86     |     ~   |     ~   |G              |   2|   0
444 |HD 54869                           |*  |07 15 09.7029085632 +64 12 39.379506876|     ~   |9.80     |9.29     |     ~   |     ~   |G              |   4|   0
445 |HD 56050                           |PM*|07 20 01.2257493000 +64 46 16.988665728|     ~   |9.66     |9.15     |     ~   |     ~   |G              |   3|   0
446 |BD+63 700                          |** |07 18 42.5022968 +63 31 26.750228      |     ~   |     ~   |     ~   |     ~   |     ~   |G              |  11|   0
447 |HD 55846                           |*  |07 18 28.7064147192 +61 01 33.432043908|     ~   |9.88     |9.38     |     ~   |     ~   |G              |   3|   0
448 |HD 237581                          |*  |07 09 24.8992807440 +58 14 27.124447740|     ~   |11.09    |10.43    |     ~   |     ~   |G              |   2|   0
449 |HD 49323                           |PM*|06 51 06.7260489072 +56 01 32.550474972|     ~   |9.70     |9.13     |     ~   |     ~   |G              |   3|   0
450 |HD 50383                           |*  |06 56 20.5945185984 +56 47 24.028303200|     ~   |10.54    |10.04    |     ~   |     ~   |G              |   2|   0
451 |HD 51371                           |*  |07 00 25.3228033080 +56 12 38.584852308|     ~   |9.99     |9.55     |     ~   |     ~   |G              |   2|   0
452 |HD 52334                           |** |07 04 09.7601 +56 26 24.889            |     ~   |9.81     |9.37     |     ~   |     ~   |G              |  13|   0
453 |HD 51271                           |*  |06 59 51.8406013320 +55 24 12.270075876|     ~   |10.21    |9.84     |     ~   |     ~   |G              |   2|   0
454 |G 192-41                           |PM*|06 44 26.3316813378 +50 33 55.350793867|     ~   |13.91    |     ~   |12.9     |     ~   |G              |   9|   0
455 |HD 48490                           |*  |06 45 52.5607336560 +46 22 44.007784824|     ~   |10.78    |10.29    |     ~   |     ~   |G              |   3|   0
456 |HD 48297                           |*  |06 45 01.7981936400 +45 47 17.597102676|     ~   |10.79    |10.23    |     ~   |     ~   |G              |   2|   0
457 |HD 153470                          |*  |16 57 30.8798737704 +47 04 52.318094772|     ~   |9.22     |8.72     |     ~   |     ~   |G              |   5|   0
458 |HD 153558                          |*  |16 57 59.4676309416 +47 05 55.121415864|     ~   |9.79     |9.21     |     ~   |     ~   |G              |  12|   0
459 |HD 152774                          |PM*|16 52 48.1047522144 +49 51 06.193081908|     ~   |9.88     |9.19     |     ~   |     ~   |G              |  20|   0
460 |HD 152828                          |PM*|16 52 51.2566618896 +54 44 55.272619608|     ~   |9.69     |9.11     |     ~   |     ~   |G              |   3|   0
461 |HD 151670                          |*  |16 46 03.4666885128 +52 48 14.205691512|     ~   |9.536    |9.062    |8.999    |     ~   |G              |   2|   0
462 |HD 150490                          |PM*|16 38 22.6851740544 +55 38 07.482154668|     ~   |9.72     |9.16     |     ~   |     ~   |G              |   5|   0
463 |SBSS 1643+582                      |*  |16 44 30.4822678944 +58 07 22.715780520|     ~   |17.00    |16.19    |15.84    |     ~   |G              |   2|   0
464 |HD 146927                          |*  |16 15 15.0120146832 +60 46 11.121244644|     ~   |10.04    |9.63     |     ~   |     ~   |G              |   3|   0
465 |HD 145179                          |*  |16 05 41.2880003616 +63 27 40.747398228|     ~   |10.02    |9.23     |     ~   |     ~   |G              |  10|   0
466 |HD 145180                          |*  |16 05 56.5400433552 +62 25 07.460462100|     ~   |10.16    |9.66     |     ~   |     ~   |G              |   3|   0
467 |TYC 4188-369-1                     |*  |15 50 30.3389868888 +65 15 30.393532728|     ~   |12.04    |11.50    |     ~   |     ~   |G              |   1|   0
468 |BD+70 842                          |*  |15 41 44.9383702992 +69 42 42.626865960|     ~   |11.36    |10.40    |     ~   |     ~   |G              |   1|   0
469 |BD+68 857                          |PM*|15 57 23.8823769144 +68 33 22.175039772|     ~   |11.42    |10.81    |     ~   |     ~   |G              |   2|   0
470 |TYC 4188-2-1                       |*  |15 50 03.0838089240 +67 24 32.845405068|     ~   |12.50    |11.79    |     ~   |     ~   |G              |   1|   0
471 |TYC 4409-373-1                     |*  |14 18 01.0015256880 +73 58 21.361133100|     ~   |10.87    |10.42    |     ~   |     ~   |G              |   2|   0
472 |BD+77 518                          |*  |13 40 32.0145079536 +76 51 09.848181888|     ~   |9.52     |9.11     |     ~   |     ~   |G              |   2|   0
473 |HD 115242                          |*  |13 12 33.0630919248 +77 50 20.727666816|     ~   |9.62     |9.12     |     ~   |     ~   |G              |   3|   0
474 |HD 84647                           |*  |09 51 44.1050126688 +76 08 14.625505284|     ~   |9.87     |9.32     |     ~   |     ~   |G              |   3|   0
475 |HD 85414                           |PM*|09 56 29.2342571040 +76 08 37.960709856|     ~   |9.96     |9.03     |     ~   |     ~   |G              |   2|   0
476 |V* MW Dra                          |EB*|09 50 17.1271951032 +74 58 15.981322404|     ~   |9.73     |9.09     |     ~   |     ~   |G              |  11|   0
477 |HD 87633                           |*  |10 10 06.9839326464 +74 24 33.495516360|     ~   |10.13    |9.21     |     ~   |     ~   |G              |   2|   0
478 |BD+75 385                          |** |09 38 35.927808 +75 16 07.30812        |     ~   |10.75    |10.03    |9.90     |     ~   |G              |   3|   0
479 |HD 80114                           |*  |09 22 52.5075444744 +73 32 25.312793820|     ~   |9.94     |9.40     |     ~   |     ~   |G              |   3|   0
480 |BD+69 481                          |** |08 41 34.50833 +69 24 17.8446          |     ~   |     ~   |     ~   |     ~   |     ~   |G              |  11|   0
481 |BD+62 957                          |*  |07 51 22.2471726360 +62 35 26.288965680|     ~   |12.22    |10.94    |     ~   |     ~   |G              |   1|   0
482 |HD 58965                           |*  |07 31 31.2234396432 +60 29 42.979929756|     ~   |9.56     |9.14     |     ~   |     ~   |G              |  25|   0
483 |HD 54589                           |*  |07 12 46.2205077888 +57 00 14.759678484|     ~   |10.61    |9.64     |     ~   |     ~   |G              |   2|   0
484 |HD 57536                           |*  |07 24 59.9714305680 +57 14 09.311675964|     ~   |10.01    |9.53     |     ~   |     ~   |G              |   4|   0
485 |HD 55600                           |*  |07 16 39.0306484128 +54 52 53.277041424|     ~   |9.76     |9.11     |     ~   |     ~   |G              |  14|   0
486 |HD 52146                           |*  |07 02 45.6988959240 +50 16 02.766973584|     ~   |9.71     |9.22     |     ~   |     ~   |G              |   3|   0
487 |HD 49118                           |*  |06 49 06.2783908704 +46 10 35.697111816|     ~   |10.67    |10.05    |     ~   |     ~   |G              |   2|   0
488 |HD 49620                           |*  |06 51 39.6727891968 +46 32 14.165063556|     ~   |10.68    |9.69     |     ~   |     ~   |G              |   2|   0
489 |HD 49400                           |*  |06 50 36.0154695960 +45 41 11.686826328|     ~   |10.69    |10.37    |     ~   |     ~   |G              |   3|   0
490 |HD 51213                           |*  |06 58 49.3690820592 +46 22 35.230791612|     ~   |10.31    |9.75     |     ~   |     ~   |G              |   2|   0
491 |HD 152085                          |*  |16 49 08.3943002112 +46 12 58.003219728|     ~   |9.76     |9.21     |     ~   |     ~   |G              |   2|   0
492 |HS 1653+4430                       |*  |16 55 20.6127056232 +44 25 28.028796564|     ~   |18.4     |     ~   |17.6     |     ~   |G              |   1|   0
493 |HD 151765                          |*  |16 47 01.7178765096 +49 03 09.809964864|     ~   |10.11    |9.67     |     ~   |     ~   |G              |   2|   0
494 |HD 152950                          |*  |16 54 13.7264760960 +47 28 11.513194932|     ~   |9.88     |9.46     |     ~   |     ~   |G              |   3|   0
495 |HS 1651+4850                       |*  |16 52 58.0490712696 +48 45 58.581439416|     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
496 |SBSS 1621+558                      |*  |16 22 51.486 +55 44 18.27              |     ~   |     ~   |     ~   |16.36    |     ~   |G              |   2|   0
497 |HD 238536                          |*  |16 08 16.1688475368 +58 32 38.700524544|     ~   |11.58    |10.65    |     ~   |     ~   |G              |   2|   0
498 |SBSS 1611+580C                     |*  |16 12 19.9943519424 +57 54 31.857357456|     ~   |17.3     |     ~   |16.1     |     ~   |G              |   2|   0
499 |HD 145476                          |*  |16 07 41.4648137760 +60 46 42.083574924|     ~   |9.86     |9.41     |     ~   |     ~   |G              |  11|   0
500 |SBSS 1605+607                      |*  |16 05 43.3344569352 +60 33 41.165330076|     ~   |17.0     |     ~   |     ~   |     ~   |G              |   3|   0
501 |SBSS 1607+608                      |*  |16 08 20.1466936464 +60 40 21.200415708|     ~   |     ~   |     ~   |     ~   |     ~   |G              |   2|   0
502 |SBSS 1615+597                      |*  |16 16 42.3787633776 +59 38 53.641200660|     ~   |16.06    |15.29    |15.46    |     ~   |G              |   2|   0
503 |HD 142066                          |SB*|15 49 04.3225863264 +61 28 45.356522340|     ~   |10.31    |9.92     |     ~   |     ~   |G              |   3|   0
504 |BD+65 1070                         |** |15 40 41.8224146712 +64 43 17.237488800|     ~   |11.48    |10.74    |     ~   |     ~   |G              |   2|   0
505 |BD+67 865                          |PM*|15 03 36.9404184576 +66 29 37.487586516|     ~   |11.40    |11.03    |     ~   |     ~   |G              |   2|   0
506 |TYC 4406-649-1                     |*  |14 22 18.6557462736 +71 52 18.552077004|     ~   |11.87    |11.62    |     ~   |     ~   |G              |   1|   0
507 |2E 1412.7+7140                     |*  |14 13 26.6 +71 26 22                   |     ~   |     ~   |11.0     |     ~   |     ~   |G              |   4|   0
508 |AG+74 303                          |PM*|11 28 38.6218971912 +74 34 03.811110492|     ~   |12.98    |11.95    |11.65    |     ~   |G              |   1|   0
509 |HD 83803                           |PM*|09 44 42.5886413400 +71 05 58.895775348|     ~   |9.97     |9.34     |     ~   |     ~   |G              |   3|   0
510 |HD 77494                           |*  |09 07 26.1248113848 +70 31 13.100255004|     ~   |9.34     |9.01     |     ~   |     ~   |G              |   5|   0
511 |HD 81818                           |*  |09 32 03.1231380480 +71 38 53.614073868|     ~   |9.73     |9.15     |     ~   |     ~   |G              |   3|   0
512 |HD 79594                           |*  |09 19 32.9314173528 +71 05 39.126224220|     ~   |9.68     |9.27     |     ~   |     ~   |G              |   6|   0
513 |HD 79720                           |*  |09 19 47.6467687248 +70 24 44.138376108|     ~   |9.67     |9.16     |     ~   |     ~   |G              |  11|   0
514 |HD 78511                           |** |09 12 50.3718 +69 42 48.186            |     ~   |     ~   |     ~   |9.2      |     ~   |G              |   4|   0
515 |HD 76259                           |*  |08 59 09.9645712416 +68 28 00.842831148|     ~   |9.86     |9.33     |     ~   |     ~   |G              |   4|   0
516 |HD 73191                           |PM*|08 40 51.3270223872 +66 02 46.195224936|     ~   |9.25     |8.77     |     ~   |     ~   |G              |  14|   0
517 |BD+64 681B                         |*  |08 24 50.2440882888 +64 09 31.169479968|     ~   |10.20    |9.84     |     ~   |     ~   |G              |   2|   0
518 |BD+64 681A                         |*  |08 24 49.0879777972 +64 09 12.865370852|     ~   |9.96     |9.54     |     ~   |     ~   |G              |   3|   0
519 |HD 68637                           |PM*|08 16 46.6672260816 +62 12 30.302415936|     ~   |9.89     |9.33     |     ~   |     ~   |G              |   3|   0
520 |2MASS J08015638+6232105            |*  |08 01 56.3822397816 +62 32 10.472739972|     ~   |     ~   |11.8     |     ~   |     ~   |G              |   1|   0
521 |SBSS 0753+610A                     |*  |07 57 28.0424705112 +60 54 14.701983948|     ~   |17.5     |     ~   |     ~   |     ~   |G              |   5|   0
522 |SBSS 0749+583                      |*  |07 53 44.6594386080 +58 15 00.853818336|     ~   |16.9     |     ~   |16.0     |     ~   |G              |   9|   0
523 |SBSS 1538+588                      |*  |15 39 33.8523177984 +58 41 29.238022356|     ~   |17.53    |17.34    |     ~   |     ~   |G              |   3|   0
524 |SBSS 1538+587                      |*  |15 39 57.2613419760 +58 35 00.913941060|     ~   |17.6     |     ~   |16.8     |     ~   |G              |   3|   0
525 |SBSS 1545+592                      |*  |15 46 55.3852157880 +59 04 11.327789460|     ~   |16.4     |     ~   |16.06    |     ~   |G              |   3|   0
526 |BD+63 1177                         |*  |15 13 04.0645056120 +63 04 18.892656732|     ~   |12.09    |11.21    |     ~   |     ~   |G              |   2|   0
527 |BD+63 1184                         |*  |15 18 09.7956981384 +62 34 45.451196400|     ~   |10.66    |10.10    |     ~   |     ~   |G              |   3|   0
528 |BD+67 857A                         |*  |14 55 39.0728299128 +66 48 46.730389572|     ~   |11.36    |10.52    |     ~   |     ~   |G              |   2|   0
529 |BD+67 857B                         |*  |14 55 39.0727483800 +66 48 57.282785676|     ~   |11.8     |10.7     |     ~   |     ~   |G              |   1|   1
530 |HD 97972                           |*  |11 17 30.8167 +72 21 23.542            |     ~   |9.75     |9.40     |     ~   |     ~   |G              |   1|   0
531 |HD 87206                           |*  |10 06 20.5384171272 +68 39 50.934278160|     ~   |9.78     |9.39     |9.0      |     ~   |G              |  14|   0
532 |HD 83255                           |PM*|09 40 35.2814490288 +69 35 37.936363560|     ~   |9.75     |9.19     |     ~   |     ~   |G              |   3|   0
533 |HD 83349                           |*  |09 41 17.3301917640 +69 18 24.069129516|     ~   |9.52     |8.97     |     ~   |     ~   |G              |   3|   0
534 |BD+69 541A                         |PM*|09 55 02.6797792800 +68 56 22.018240032|     ~   |11.35    |10.65    |10.322   |     ~   |G              |  24|   0
535 |BD+69 541B                         |PM*|09 55 01.0230525048 +68 56 22.460563788|     ~   |11.33    |10.58    |10.409   |     ~   |G              |  10|   0
536 |HD 77495                           |PM*|09 06 28.9874935560 +66 42 22.632355440|     ~   |9.40     |8.84     |     ~   |     ~   |G              |  13|   0
537 |HD 78104                           |*  |09 10 00.2091594888 +66 31 24.893526468|     ~   |10.19    |9.21     |     ~   |     ~   |G              |   3|   0
538 |HD 79609                           |*  |09 18 41.9030812968 +67 13 37.673220504|     ~   |10.05    |9.54     |     ~   |     ~   |G              |   2|   0
539 |HD 80260                           |PM*|09 22 14.5794025704 +67 10 51.292129800|     ~   |9.79     |9.32     |     ~   |     ~   |G              |   6|   0
540 |HD 82245                           |*  |09 34 06.6590075568 +66 45 55.484958456|     ~   |9.57     |9.11     |     ~   |     ~   |G              |   9|   0
541 |HD 74939                           |PM*|08 50 19.5117230328 +63 21 43.208710848|     ~   |9.71     |9.18     |     ~   |     ~   |G              |   3|   0
542 |BD+62 1011                         |*  |08 43 11.9293926744 +61 52 18.531044976|     ~   |10.44    |10.03    |     ~   |     ~   |G              |   2|   0
543 |HD 70877                           |*  |08 27 53.1257646192 +62 22 42.686485788|     ~   |9.92     |8.96     |     ~   |     ~   |G              |   2|   0
544 |HD 66799                           |*  |08 08 25.6911873744 +59 52 11.905109796|     ~   |9.74     |9.29     |     ~   |     ~   |G              |   3|   0
545 |HD 233463                          |*  |07 53 01.8758010696 +53 36 35.821172844|     ~   |10.91    |10.29    |     ~   |     ~   |G              |   2|   0
546 |BD+45 1395                         |*  |07 11 37.6655745408 +44 57 37.222144632|     ~   |10.44    |9.87     |     ~   |     ~   |G              |   2|   0
547 |HD 55619                           |PM*|07 15 51.5509784520 +45 02 36.034436652|     ~   |     ~   |     ~   |8.2      |     ~   |G              |  32|   0
548 |BD+44 1612                         |*  |07 20 16.0225116864 +44 20 05.190833148|     ~   |11.08    |10.51    |     ~   |     ~   |G              |   1|   0
549 |HD 149043                          |*  |16 30 07.8430904616 +44 52 15.694674744|     ~   |9.80     |9.23     |     ~   |     ~   |G              |  14|   0
550 |HD 147663                          |*  |16 21 07.3813375536 +46 42 07.599183156|     ~   |10.06    |9.09     |     ~   |     ~   |G              |   9|   0
551 |HD 234288                          |SB*|16 14 10.1016671184 +49 41 22.973446428|     ~   |10.56    |9.50     |     ~   |     ~   |G              |   2|   0
552 |HS 1609+4941                       |*  |16 11 10.6 +49 34 04                   |     ~   |19.10    |     ~   |     ~   |     ~   |G              |   1|   0
553 |BD+57 1609                         |*  |15 46 40.8945355920 +56 50 25.685259360|     ~   |10.86    |10.35    |     ~   |     ~   |G              |   3|   0
554 |SBSS 1531+572B                     |*  |15 32 37.2932912904 +57 05 03.196231224|     ~   |18.0     |     ~   |     ~   |     ~   |G              |   4|   0
555 |SBSS 1532+583                      |*  |15 33 47.3414492664 +58 09 36.928587852|     ~   |17.15    |16.48    |16.27    |     ~   |G              |   3|   0
556 |SBSS 1515+608                      |*  |15 16 25.7274015936 +60 38 04.104285648|     ~   |18.2     |     ~   |16.9     |     ~   |G              |   1|   0
