,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
3288,BD+49  2621,K,17 20 32.9213,+49 03 32.562,--,11.06,9.72,--,--,9.336473,7.609,7.077,6.935
3289,HD  30750,A,04 56 19.5152,+70 28 01.221,--,9.63,9.47,--,--,9.524765,9.278,9.246,9.204
3290,HD  27439,G,04 18 17.3555,-37 55 05.356,--,10.83,10.17,--,--,--,8.881,8.558,8.467
3291,Cl Trumpler   37   247,F,21 04 17.9150,+57 18 51.870,--,13.1,--,--,--,12.055255,10.835,10.469,10.396
3292,IRAS 17246-3705,O,17 28 05.6256,-37 07 29.492,--,--,--,--,--,--,11.54,8.996,7.514
3293,HD 279776,A,04 20 00.1931,+34 09 25.075,--,11.83,11.61,--,--,11.707364,11.105,10.998,10.951
3294,OH 359.513+00.174,O,17 43 46.7270,-29 15 38.444,--,--,--,--,--,--,14.549,10.521,8.143
3295,Cl Trumpler   37  1347,F,21 47 26.9788,+59 04 09.522,--,12.67,12.35,--,--,11.823926,10.635,10.402,10.352
3296,HD 273101,F,05 07 06.8051,-42 57 49.185,--,12.21,12.47,--,--,11.943314,10.995,10.744,10.734
3297,IRAS 17422-3537,O,17 45 33.5442,-35 38 56.817,--,--,--,--,17.194,16.962576,9.867,7.49,6.118
3298,BD+65  1285,K,18 39 44.2612,+65 56 18.279,--,10.24,9.29,--,--,9.065643,7.672,7.197,7.126
3299,TYC 1958-1060-1,F,09 21 16.0016,+28 04 17.599,--,11.59,11.23,--,--,11.14233,10.506,10.393,10.324
3300,IRAS 17384-3130,O,17 41 42.0535,-31 32 06.363,--,--,--,--,--,--,--,13.849,10.31
3301,IRAS 17362-3630,O,17 39 35.6427,-36 31 56.185,--,--,--,--,--,13.434896,7.541,6.093,5.265
3302,IRAS 17198-3611,O,17 23 16.2696,-36 14 21.484,--,--,--,--,--,19.587448,10.335,7.728,6.146
3303,BD+36  1488,K,06 43 15.6803,+36 46 35.026,--,11.5,9.94,--,--,9.326865,7.071,6.227,6.041
3304,2MASS J22551760+6243231,K,22 55 17.6044,+62 43 23.181,18.324,--,15.71,--,14.13,15.191412,12.983,12.414,12.221
3305,EM* VES  364,B,21 07 34.7187,+51 05 26.374,--,12.88,12.0,--,--,11.619348,9.965,9.683,9.38
3306,HD 182144,A,19 20 55.4824,+49 26 23.495,--,9.16,9.08,--,--,9.053386,8.82,8.795,8.753
3307,LS   V +57   60,B,04 33 19.9082,+58 05 07.816,--,11.87,11.53,--,--,11.678549,11.083,11.094,11.02
3308,HD 282384,A,04 39 00.6923,+29 44 03.073,--,12.21,12.12,--,--,11.746745,10.722,10.616,10.526
3309,HD 187999,G,19 45 31.1262,+75 21 54.167,--,10.57,10.01,--,--,9.82875,8.904,8.645,8.594
3310,[IG95] 330-04,M,18 45 18.7122,-30 31 47.818,--,17.77,--,15.2,--,15.341601,12.952,12.343,12.133
3311,HS 1246+4514,M,12 48 32.1355,+44 58 12.205,--,19.0,--,--,--,17.230751,14.874,14.216,13.894
3312,HD 295034,K,06 24 30.2234,-04 37 27.950,--,11.02,10.12,--,--,9.89336,8.306,7.775,7.646
3313,2MASS J19240832+5552215,K,19 24 08.3217,+55 52 21.417,--,--,--,--,--,13.517706,10.635,10.041,9.776
3314,IRAS 17308-3615,O,17 34 15.1551,-36 17 30.515,--,--,--,--,--,17.907629,10.076,7.764,--
3315,TYC 4533-1534-1,M,06 20 56.5140,+79 49 55.879,--,11.83,9.95,--,--,9.048146,6.34,5.53,5.23
3316,HD 201217,F,21 07 42.1039,+15 21 55.084,--,10.43,10.11,--,--,10.214254,9.675,9.559,9.527
3317,IRAS 17217-3600,O,17 25 04.540,-36 03 22.49,--,--,--,--,--,--,--,14.688,10.108
3318,BD+62   957,G,07 51 22.2471,+62 35 26.288,--,12.22,10.94,--,--,10.571153,8.682,8.031,7.871
3319,LS   I +61  174,B,00 55 39.1356,+61 30 58.639,--,12.4,11.98,--,--,11.853528,10.736,10.597,10.526
3320,TYC 3841-43-1,K,12 29 47.6272,+54 51 39.321,--,11.83,11.16,--,--,11.223759,10.346,10.097,10.045
3321,IRAS 17139-4122,O,17 17 29.4426,-41 25 40.320,--,--,--,--,--,19.454668,12.241,9.811,8.154
3322,HD 285133,A,05 02 18.1994,+23 21 29.015,--,11.99,11.8,--,--,11.592915,10.778,10.687,10.631
3323,HD 316625,M,17 54 25.4058,-30 42 05.748,--,11.6,10.09,--,--,9.152902,6.382,5.532,5.258
3324,BD+01  3437,M,17 28 43.8922,+01 01 52.617,--,12.82,11.25,11.06,--,10.939069,9.01,8.395,8.29
3325,BD+64   739,F,09 31 21.5249,+63 47 38.615,--,11.21,10.55,--,--,10.439544,--,--,--
3326,LS III +51    9,B,21 13 57.7137,+51 17 49.392,--,12.0,11.03,--,--,10.527909,8.659,8.425,8.254
3327,GSC 04047-01434,B,02 42 42.1302,+61 37 10.145,--,--,12.9,--,--,12.922505,12.004,11.889,11.835
3328,BD+56   477,B,02 17 04.4992,+56 58 07.193,--,10.21,9.331,--,8.9269,9.949914,9.673,9.639,9.582
3329,HD  68637,G,08 16 46.6672,+62 12 30.302,--,9.89,9.33,--,--,9.274222,8.413,8.192,8.088
3330,V* V1259 Oph,M,17 02 38.9140,-21 20 26.244,--,--,--,--,--,12.625875,9.487,8.54,8.142
3331,LS III +56   64,B,22 30 20.6835,+56 30 26.776,--,11.09,10.74,--,--,10.451191,9.474,9.367,9.252
3332,IRAS 16539-3944,O,16 57 22.9456,-39 48 45.507,--,--,--,--,--,--,14.056,11.2,9.16
3333,KUV 18020+6639,B,18 02 01.3670,+66 39 20.506,--,16.5,17.14,17.6,--,17.241047,--,--,--
3334,IRAS 16523-3936,O,16 55 49.5947,-39 41 03.184,--,--,--,--,--,18.064333,9.604,7.39,5.776
3335,HD 194974,F,20 25 36.6207,+59 18 56.202,--,9.12,8.71,--,--,8.666432,8.006,7.871,7.782
3336,Ton  333,F,08 37 52.5362,+29 36 22.878,--,15.0,15.13,--,--,15.043259,14.326,14.137,14.059
3337,LS III +41   43,B,20 59 32.7345,+41 35 02.267,--,12.02,11.35,--,--,11.249272,9.669,9.485,9.36
3338,OH 346.505-00.052,O,17 09 13.6504,-40 10 51.708,--,--,--,--,--,--,--,--,12.51
3339,BD-05   590,G,03 10 09.8406,-05 18 24.373,--,10.88,10.31,--,--,10.150427,9.259,8.966,8.909
3340,HD  66773,K,08 07 34.2651,+52 16 12.946,11.18,10.14,9.02,--,--,8.728188,7.089,6.552,6.425
3341,TYC 4586-1893-1,K,20 49 48.3287,+76 15 15.109,--,11.83,10.29,--,--,9.475913,6.963,6.14,5.908
3342,HD 288129,K,05 38 45.0782,+02 01 02.474,--,12.26,11.21,--,--,10.91921,9.236,8.659,8.543
3343,LS III +61   14,B,22 38 50.9226,+61 18 43.257,12.24,11.6,11.3,--,--,11.123139,9.572,9.355,9.247
3344,[FS2003] 0346,K,06 15 07.800,-15 01 09.98,--,--,--,--,--,--,--,--,--
3345,TYC 4816-2725-1,F,07 21 57.3645,-01 29 53.906,--,11.19,10.85,--,--,10.742003,10.097,9.978,9.921
3346,HD 276348,A,04 26 21.404,+41 19 34.21,--,12.47,12.65,--,--,--,10.598,10.6,10.545
3347,TYC 4142-416-1,K,09 38 47.8408,+65 44 15.327,--,13.05,11.43,--,--,11.238558,9.544,8.977,8.838
3348,HD  49323,G,06 51 06.7260,+56 01 32.550,--,9.7,9.13,--,--,9.019614,8.056,7.779,7.711
3349,BD+57  2188,K,20 24 20.2170,+57 49 16.239,--,11.53,10.14,--,--,9.705014,7.725,7.093,6.88
3350,BD+45   113,M,00 29 13.7795,+46 32 32.462,--,12.26,10.76,--,--,10.34128,8.347,7.712,7.524
3351,HD 203765,A,21 22 39.6901,+48 38 36.389,--,9.17,9.06,--,--,9.036298,8.729,8.752,8.734
3352,LS III +57   58,B,22 30 57.1396,+57 15 50.421,--,12.57,12.09,--,--,11.863723,11.156,11.025,10.931
3353,Cl Trumpler   37  1933,F,21 23 53.0924,+60 18 58.951,--,12.54,12.24,--,--,12.014135,10.96,10.695,10.652
3354,HD  80868,F,09 23 41.0417,+45 22 03.882,--,10.03,9.69,--,--,9.585191,9.048,8.904,8.87
3355,HD 296760,F,07 14 54.3879,-04 51 48.739,--,11.48,10.87,--,--,10.643225,9.552,9.208,9.086
3356,IRAS 11049+3845,M,11 07 44.8749,+38 29 15.950,--,12.21,10.9,--,--,8.761419,5.075,4.157,3.835
3357,HD  80114,G,09 22 52.5075,+73 32 25.312,--,9.94,9.4,--,--,9.318384,8.425,8.203,8.182
3358,TYC 3977-1955-1,K,22 07 44.4441,+56 50 03.139,--,11.5,10.86,--,--,10.826725,9.891,9.677,9.644
3359,HD 145991,K,16 09 39.3759,+65 49 44.890,--,10.0,--,8.8,--,9.064981,7.983,7.671,7.571
3360,HD 283288,G,04 02 53.7747,+28 26 03.860,--,12.39,11.45,--,--,11.443407,10.448,10.268,10.158
3361,HD 191961,A,20 10 05.1218,+51 21 30.414,--,8.66,8.35,--,--,8.315143,7.759,7.604,7.576
3362,BD+46  3545,A,22 02 20.7908,+47 35 39.381,--,11.42,10.17,--,--,9.776571,7.838,7.188,7.038
3363,IRAS 16498-4143,O,16 53 22.5847,-41 48 29.469,--,--,--,--,--,--,13.929,9.335,5.99
3364,HD  19309,A,03 07 21.3226,+31 47 36.799,--,9.69,9.47,--,--,9.446714,8.975,8.948,8.859
3365,IRAS 17171-3504,O,17 20 32.8706,-35 07 37.203,--,--,--,--,--,15.859028,8.058,5.907,4.848
3366,HD  84840,K,09 49 03.7170,+41 03 29.119,--,10.22,8.71,--,--,8.12954,5.911,5.105,4.9
3367,BD+42   678,G,03 00 25.9278,+42 37 02.496,--,11.44,10.96,11.0,--,10.773415,9.793,9.521,9.488
3368,LS III +49   20,B,21 21 39.0837,+50 02 01.135,11.48,11.7,11.24,11.04,--,11.00014,9.805,9.674,9.565
3369,HD  51004,F,06 56 04.7543,+10 56 03.643,--,8.92,8.69,--,--,8.655259,8.188,8.119,8.054
3370,V* XZ Pyx,M,08 28 16.5083,-22 58 52.545,--,10.85,9.33,--,--,8.11216,5.168,4.356,4.065
3371,TYC 3428-390-1,K,09 24 17.2325,+48 44 10.800,--,12.44,11.85,--,--,11.611682,10.202,9.739,9.643
3372,CLS  64,M,13 05 34.1749,+31 52 41.290,--,--,--,16.32,--,16.360334,14.586,13.985,13.899
3373,LS   I +57   91,B,02 47 20.0356,+57 42 24.338,--,10.97,10.64,--,--,10.387952,9.303,9.194,9.122
3374,TYC 3576-1394-1,K,20 15 44.5368,+47 31 22.761,--,11.65,10.95,--,--,10.408413,9.045,8.607,8.523
3375,IRAS 17165-3053,O,17 19 47.6642,-30 56 47.860,--,--,--,--,--,20.38332,14.304,12.424,10.68
3376,BD+41  1893,F,08 58 34.4860,+40 28 55.514,--,11.69,11.21,--,--,11.140726,10.38,10.196,10.151
3377,BD+62    36,B,00 16 30.5810,+63 29 21.174,--,11.37,9.82,--,--,9.05733,6.636,5.886,5.635
3378,HD 181095,K,19 16 50.2611,+47 39 50.240,--,9.77,8.6,--,--,8.247619,6.498,5.96,5.843
3379,HD 291372,K,06 15 20.7774,-00 00 08.864,--,10.0,--,--,--,10.14678,8.038,7.311,7.153
3380,[CSH96] SSA 22  61,M,22 17 38.596,+00 15 57.11,--,--,--,23.0,--,--,--,--,20.4
3381,LS III +58   34,B,22 30 12.9581,+58 53 49.712,--,11.89,11.2,--,--,10.809108,8.966,8.685,8.448
3382,HD 284743,A,04 51 37.2234,+23 26 29.886,--,10.0,--,--,--,11.826341,10.74,10.541,10.474
3383,HD  81356,A,09 28 59.4359,+69 23 00.289,--,9.61,9.21,8.7,--,9.134259,8.375,8.356,8.273
3384,BD+71    35,G,00 44 22.0255,+72 20 21.108,--,9.89,9.32,--,--,9.195499,8.23,7.902,7.888
3385,BD+48  2648,K,18 09 51.0547,+48 49 24.458,--,12.12,11.56,--,--,11.041259,9.609,9.139,9.071
3386,HD 355943,M,19 48 33.4423,+13 20 44.614,--,12.24,10.33,--,--,9.306972,6.53,5.649,5.36
3387,HD 275779,G,03 47 31.5123,+41 01 20.571,--,11.67,10.98,--,--,10.849737,9.856,9.597,9.549
3388,HD  29669,A,04 41 00.8057,+18 06 27.835,--,10.69,10.18,--,--,10.086403,9.193,9.051,8.961
3389,LS III +60   27,B,22 50 22.7824,+60 26 44.852,11.69,11.8,11.0,--,--,10.690345,8.916,8.602,8.474
3390,ISOGAL-P J173729.4-311716,O,17 37 29.3474,-31 17 16.616,--,--,--,--,--,--,--,10.59,8.079
3391,BD+05  3733,M,18 25 59.1399,+06 03 56.746,--,11.87,10.3,--,--,9.5115,7.028,6.19,5.962
3392,HD 237850,G,09 56 36.3421,+54 19 09.658,--,11.47,11.01,--,--,10.799959,9.879,9.542,9.52
3393,EM* GGR  167,B,00 01 45.6151,+63 27 58.005,--,12.6,12.27,12.13,--,12.021569,11.432,11.22,11.034
3394,IRAS 17391-3758,O,17 42 35.0328,-37 59 27.269,--,--,--,--,--,12.76897,6.979,5.546,4.671
3395,HS 1617+4812,F,16 19 03.3132,+48 04 51.692,--,--,--,--,--,17.006935,15.881,15.393,15.461
3396,2MASS J18425236-3024395,M,18 42 52.3617,-30 24 39.491,--,17.47,--,15.19,--,14.950334,11.886,10.998,10.685
3397,BD+42  1472,K,06 03 17.1296,+42 42 33.303,--,10.38,9.07,--,--,8.708088,6.834,6.235,6.07
3398,HD 282706,F,05 01 23.8712,+31 42 33.005,--,10.0,--,--,--,11.569023,10.565,10.446,10.369
3399,BD+56  2711,A,22 08 44.4302,+56 42 15.554,--,11.11,10.66,--,--,10.646106,10.044,9.967,9.873
3400,HD 201004,A,21 05 31.3863,+41 09 46.562,--,8.98,8.91,--,--,8.915439,8.758,8.749,8.723
3401,Cl Trumpler   37  1549,F,21 42 17.6936,+59 18 03.979,--,11.92,11.64,--,--,11.370214,10.503,10.278,10.237
3402,HD 211266,F,22 15 41.7174,+11 54 38.716,--,9.39,8.99,--,--,8.921243,8.162,7.953,7.933
3403,HD 278278,F,03 05 26.3968,+35 38 09.783,--,11.85,11.09,--,--,11.167504,10.076,9.865,9.786
3404,WEL M27,M,02 40 04.1011,-34 45 14.598,--,20.295,18.871,--,--,--,14.772,14.172,13.851
3405,HD 285004,A,05 01 28.0464,+22 12 32.998,--,11.66,11.2,--,--,11.559068,10.656,10.511,10.428
3406,IRAS 16467-4255,O,16 50 18.9384,-43 00 50.936,--,--,--,--,--,--,--,10.436,7.864
3407,HD  88628,G,10 15 04.0812,+61 57 12.397,--,9.94,9.55,--,--,9.429342,8.669,8.519,8.459
3408,LS III +60   19,B,22 25 46.0584,+60 45 55.429,--,12.61,12.06,--,--,11.338596,9.677,9.46,9.336
3409,BD+02   494,M,03 11 02.8696,+03 14 31.044,--,12.39,10.85,--,--,10.385529,8.452,7.771,7.594
3410,HD 184656,G,19 21 28.7167,+81 44 34.734,--,9.29,8.61,--,--,8.473737,7.41,7.11,7.065
3411,LS   I +63  108,B,00 51 02.6981,+63 38 58.330,--,--,--,--,--,13.213443,12.428,12.42,12.299
3412,HD 276082,F,04 10 37.3291,+40 19 00.135,--,11.045,10.234,10.066,--,10.009861,8.598,8.443,8.319
3413,BPS CS 30494-0048,A,04 09 29.4569,-19 23 58.775,--,13.76,13.32,13.3,--,13.218792,12.532,12.346,12.302
3414,HD 224738,F,00 00 18.7788,+65 56 40.968,--,9.345,9.175,8.837,--,--,7.746,7.637,7.573
3415,V* DN Psc,M,23 47 13.8051,+07 05 13.322,--,12.3,10.52,10.049,--,9.706288,7.0,6.056,5.865
3416,LS III +40    7,B,20 17 25.1168,+40 44 32.352,--,11.55,11.05,--,--,10.812542,9.416,9.24,9.096
3417,IRAS 17254-3925,O,17 28 56.1398,-39 28 16.900,--,--,--,--,--,10.761013,5.413,4.3,3.469
3418,EM* GGR  209,B,01 19 28.4691,+64 55 34.623,--,12.33,11.79,--,--,11.515903,10.326,10.199,10.151
3419,HD 276210,G,04 20 00.0488,+39 48 29.748,--,11.99,11.25,--,--,11.113241,9.99,9.667,9.61
3420,[SLB2015] 30428,M,22 17 44.5302,+00 21 21.470,--,--,--,20.7,--,20.124096,--,--,18.2
3421,BD+45   945,G,04 31 44.3037,+45 39 40.723,--,10.17,8.96,--,--,8.399601,6.247,5.574,5.39
3422,HD  34020,F,05 15 10.0259,+21 28 35.597,--,9.42,9.0,--,--,8.936852,8.216,8.046,8.0
3423,2MASSs J0257536+194325,M,02 57 53.60,+19 43 25.2,--,--,--,--,--,--,--,--,--
3424,HD 182310,K,19 21 44.4201,+47 24 16.241,--,10.26,8.67,--,--,7.690137,5.007,4.243,3.922
3425,HD    570,A,00 10 24.6864,+58 31 25.858,--,9.06,8.93,8.77,--,8.87029,7.546,7.502,7.433
3426,FIRST J075127.6+272736,M,07 51 27.64,+27 27 36.4,--,--,--,--,--,--,--,--,--
3427,BD+84   491,K,21 25 02.2747,+84 55 20.142,--,11.58,10.46,--,--,10.12119,8.369,7.759,7.579
3428,HS 1345+4911,A,13 47 10.3,+48 56 28,--,--,--,--,--,--,--,--,--
3429,HD  26233,A,04 11 02.3585,+44 07 59.036,--,11.062,10.712,10.71,--,10.626633,9.928,9.881,9.766
3430,IRAS 17009-4220,O,17 04 29.9269,-42 24 29.742,--,--,--,--,--,15.700389,7.641,5.614,4.474
3431,IRAS 17253-3422,O,17 28 41.6416,-34 25 20.618,--,--,--,--,--,--,--,14.629,11.046
3432,TYC 4652-422-1,F,18 25 02.0538,+85 44 48.538,--,11.9,11.6,--,--,11.331388,10.511,10.364,10.302
3433,BD-22  2695,F,09 43 06.1188,-23 16 37.928,--,10.8,9.97,--,--,9.739381,8.382,7.934,7.871
3434,LS III +59   27,B,22 23 10.2030,+59 52 03.324,--,13.09,12.26,12.04,--,11.85408,10.147,9.79,9.511
3435,HD 215761,F,22 47 13.7140,+21 27 54.580,--,9.54,9.24,--,--,9.192677,8.64,8.59,8.542
3436,IRAS 21082+5450,M,21 09 45.1258,+55 03 07.177,--,15.75,13.22,12.19,--,10.788823,6.829,5.63,5.154
3437,KUV 02432+3637,B,02 46 17.9285,+36 49 40.505,--,15.5,--,--,--,15.18912,15.06,15.13,14.92
3438,HD 277252,A,05 00 16.4575,+41 11 05.634,--,11.4,11.52,--,--,11.109509,10.459,10.37,10.308
3439,HD  79518,K,09 18 34.9589,+69 05 29.387,--,10.09,8.49,7.8,--,7.919041,5.719,4.967,4.779
3440,V* SY Lyn,M,07 49 29.3745,+53 07 52.587,--,12.74,10.77,10.02,--,9.955592,6.712,5.936,5.649
3441,V* V1534 Oph,M,17 11 17.5607,-20 50 37.230,--,--,--,--,--,14.003798,9.249,8.284,7.758
3442,HD  67085,G,08 08 43.4256,+49 43 09.469,--,9.61,9.16,--,--,9.066544,8.28,8.097,8.016
3443,TYC  178-426-1,F,07 32 32.7729,+01 33 05.181,--,11.05,10.62,--,--,10.86493,10.145,9.936,9.906
3444,IRAS 21372+5517,M,21 38 49.9789,+55 30 47.337,--,13.79,11.49,10.91,--,9.991736,6.63,5.58,5.202
3445,TYC  119-843-1,K,05 42 53.3911,+03 00 06.772,--,12.16,11.43,--,--,10.982722,9.642,9.214,9.078
3446,HD 285424,G,04 04 54.1925,+15 13 06.873,--,12.27,11.64,--,--,11.74174,10.374,10.1,9.986
3447,HD 230420,M,19 01 10.1839,+11 32 42.380,--,11.82,10.462,--,--,9.398915,6.743,5.875,5.61
3448,IRAS 16575-3651,O,17 00 57.1096,-36 56 06.921,--,--,--,--,--,11.927321,6.345,5.12,4.39
3449,EM* GGR   46,B,22 06 59.6064,+55 45 41.906,--,12.6,12.6,--,--,11.726158,10.375,10.05,9.753
3450,2MASS J15464681+2700522,M,15 46 46.8181,+27 00 52.089,--,12.27,10.74,--,--,10.133422,7.965,7.156,6.975
3451,EM* UHA   33,M,20 49 48.8567,+45 17 12.575,--,17.0,15.0,--,--,13.984473,10.937,10.137,9.812
3452,V* V1275 Oph,M,17 03 01.2890,-19 10 37.954,--,--,--,--,--,12.575149,9.729,8.863,8.657
3453,HD 280517,K,05 05 15.9759,+34 33 58.340,--,12.27,10.66,--,--,9.915103,7.372,6.551,6.333
3454,S1*  51,M,02 53 26.2372,+58 51 06.044,--,13.6,11.21,10.582,--,9.674576,6.312,5.333,4.959
3455,2MASS J11251806+4951579,M,11 25 18.0118,+49 51 57.435,--,--,--,--,--,18.446012,15.133,14.512,14.251
3456,TYC  714-482-1,K,05 44 01.4217,+07 42 45.019,--,11.95,10.52,9.894,--,9.494543,6.676,5.738,5.373
3457,HD 219359,A,23 14 29.5731,+55 25 37.273,--,9.21,9.06,--,--,9.020191,8.621,8.542,8.587
3458,FBS 1404+624,B,14 06 24.1288,+62 11 22.371,--,--,16.1,--,--,16.547218,15.658,15.324,15.326
3459,BD+71   272A,K,04 46 27.5144,+71 27 30.823,--,11.57,10.35,--,--,9.954363,8.002,7.372,7.203
3460,HD 282177,F,04 27 39.5555,+29 32 03.613,--,12.17,11.27,--,--,10.830939,9.072,8.74,8.578
3461,IRAS 17047-4052,O,17 08 18.3339,-40 56 00.475,--,--,--,--,--,19.172329,10.316,7.367,5.504
3462,G 192-41,G,06 44 26.3316,+50 33 55.350,--,13.91,--,12.9,--,12.94777,11.738,11.355,11.28
3463,Cl Trumpler   37  1106,F,21 03 54.0447,+58 45 44.203,--,12.34,11.63,--,--,11.707899,10.784,10.505,10.461
3464,Cl Trumpler   37  1755,K,21 29 55.9094,+60 03 47.152,--,12.23,11.09,--,--,10.257581,7.949,7.233,7.04
3465,HD  17746,A,02 52 07.9957,+40 40 16.438,--,9.59,9.41,--,--,9.480356,9.195,9.159,9.111
3466,IRAS 17149-3053,O,17 18 10.9368,-30 56 39.919,--,--,--,--,--,--,--,--,13.365
3467,V* V2571 Sgr,M,18 30 49.4404,-23 05 51.916,--,--,--,--,--,11.114248,6.261,5.288,4.84
3468,LS III +51   42,B,22 51 38.9171,+51 50 42.440,--,12.01,11.78,--,--,12.293393,11.823,11.744,11.565
3469,BD+52  2864,G,21 04 49.6256,+52 56 20.172,--,11.42,11.03,--,--,10.860318,9.942,9.696,9.675
3470,LS III +63   11,B,22 41 29.7372,+64 09 52.669,--,11.96,11.6,--,--,11.235128,9.861,9.662,9.535
3471,HD 100992,F,11 37 47.7918,+58 47 57.960,--,9.55,9.21,--,--,9.184367,8.707,8.605,8.544
3472,HD 280097,A,04 43 58.1723,+37 39 17.742,--,12.14,11.41,--,--,11.513571,10.136,9.968,9.837
3473,BD+56  1103,K,06 18 01.8959,+56 55 45.611,--,11.42,10.51,--,--,10.307336,8.691,8.115,8.005
3474,HD  31304,A,05 00 19.7445,+69 25 29.112,--,9.79,9.69,--,--,9.628829,9.306,9.276,9.256
3475,BD+61  1915,G,19 48 29.4123,+62 05 46.161,--,10.02,9.44,--,--,9.338978,8.365,8.103,8.091
3476,LS III +57  115,B,23 03 03.7299,+57 44 41.022,--,11.99,11.6,--,--,11.342938,10.356,10.137,10.071
3477,EM* CGHA   57,M,21 10 02.2625,+46 44 44.040,--,13.1,12.0,--,--,9.706108,6.572,5.638,5.328
3478,Cl Trumpler   37  1924,K,21 22 53.9505,+60 13 09.327,--,12.43,10.87,--,--,10.227162,8.016,7.24,7.089
3479,EM* StHA   47,K,05 35 22.9366,-01 11 24.256,--,13.36,12.49,12.33,--,12.195351,10.457,9.75,9.181
3480,CHSS  630,F,09 25 15.9095,+28 57 24.611,--,--,12.93,--,--,12.839935,11.902,11.674,11.617
3481,BD+64   254,B,01 54 28.6906,+65 20 52.678,--,11.12,10.67,--,--,10.603727,9.673,9.581,9.526
3482,IRAS 17053-3458,O,17 08 42.7890,-35 02 22.064,--,--,--,--,--,12.807384,6.944,5.533,4.652
3483,HD 219326,A,23 14 00.8900,+62 12 52.800,--,8.45,8.35,--,--,8.336851,8.084,8.125,8.061
3484,LS III +52   21,B,22 00 39.3656,+53 03 42.150,--,12.5,--,--,--,12.034297,10.774,10.65,10.503
3485,V* GT Dra,A,17 39 50.7899,+72 57 53.024,--,8.3,8.18,--,--,8.191749,7.369,7.048,6.891
3486,IRAS 17121-3645,O,17 15 32.4400,-36 49 06.363,--,--,--,--,--,19.559088,9.556,7.361,6.083
3487,Cl Trumpler   37  1610,A,21 05 29.6603,+60 10 11.187,--,12.89,12.02,--,--,12.066222,10.892,10.742,10.609
3488,IRAS 17136-3548,O,17 16 59.4756,-35 51 53.690,--,--,--,--,--,--,--,14.6,11.293
3489,OH 350.85+00.19,O,17 21 09.5824,-36 30 50.446,--,--,--,--,--,--,--,--,--
3490,BD+01   147,F,00 49 39.5387,+02 41 57.254,--,11.99,11.63,--,--,11.567143,10.589,10.316,10.274
3491,[MK97] 23,M,20 57 51.1944,+53 07 22.569,--,--,--,13.25,--,13.16305,11.773,11.45,11.368
3492,AG+73  533,K,20 03 43.4787,+73 55 50.513,--,11.95,10.11,--,--,8.920983,5.901,4.998,4.737
3493,TYC 4607-1115-1,K,21 32 03.7909,+80 02 05.277,--,11.66,10.04,--,--,9.090481,6.379,5.515,5.225
3494,BD+56   546,B,02 20 13.5198,+56 44 24.223,--,10.73,10.53,--,--,10.555016,10.417,10.403,10.38
3495,BD+45   290,G,01 11 08.7591,+46 14 23.914,--,11.04,10.03,--,--,9.788946,8.181,7.648,7.545
3496,OH 349.675+00.320,O,17 17 14.0608,-37 23 47.839,--,--,--,--,--,--,--,--,--
3497,LS   I +63  137,B,01 09 18.1120,+63 28 40.480,--,12.21,11.4,--,--,11.207685,9.735,9.568,9.439
3498,HD 284638,K,04 44 18.9176,+23 55 26.972,--,12.86,10.46,--,--,9.793511,7.255,6.47,6.239
3499,IRAS 17089-3734,O,17 12 21.8956,-37 38 16.989,--,--,--,--,--,18.556332,9.593,7.584,6.316
3500,[AUO2003] J104027.50+204602.8,M,10 40 27.50,+20 46 02.8,--,--,--,--,--,--,--,--,--
3501,EM* UHA   58,A,20 53 33.6546,+46 00 11.288,--,13.5,13.0,--,--,12.777275,11.238,10.988,10.832
3502,HD 281351,F,03 59 15.9334,+33 51 56.706,--,12.33,12.19,--,--,11.571217,10.41,10.192,10.105
3503,2MASS J18522609-2959303,M,18 52 26.1002,-29 59 30.345,--,16.61,--,14.67,--,14.789038,12.177,11.271,11.045
3504,IRAS 17442-3400,O,17 47 31.8639,-34 01 12.407,--,--,--,--,--,13.423999,5.217,3.556,2.78
3505,HD 132717,G,14 59 22.8577,+36 30 04.100,--,9.89,9.42,--,--,9.285376,8.455,8.234,8.169
3506,2MASS J15302572+3234092,M,15 30 25.7188,+32 34 09.182,--,12.31,10.51,--,--,9.660706,7.069,6.249,6.003
3507,IRAS 17131-3845,O,17 16 32.2711,-38 48 17.892,--,--,--,--,--,--,--,--,10.737
3508,HD  59998,F,07 33 02.4491,+14 50 56.387,--,10.03,9.87,--,--,9.857339,9.628,9.635,9.596
3509,SBSS 1451+606,G,14 53 11.0295,+60 24 08.969,--,17.9,--,16.6,--,16.837214,15.81,15.85,15.55
3510,HD 284272,G,04 15 43.4505,+20 20 14.251,--,12.16,12.11,--,--,11.302314,10.05,9.745,9.657
3511,HD 208665,A,21 55 23.5382,+65 40 08.883,--,8.98,8.88,--,--,8.863441,8.635,8.705,8.604
3512,BD+00   691,G,04 04 32.7660,+00 39 49.666,--,11.99,10.84,--,--,10.314958,8.243,7.649,7.49
3513,TYC   61-1165-1,G,03 01 17.0035,+05 00 02.535,--,12.06,11.51,--,--,11.18609,10.074,9.774,9.681
3514,HD 284960,K,04 58 30.6456,+23 00 31.979,--,12.31,10.84,--,--,10.119848,7.793,7.064,6.852
