,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
203,EM* GGA  176,B,02 30 07.0975,+57 32 14.362,--,12.08,11.61,11.75,--,11.703998,10.7,10.54,10.482
204,IRAS 17283-3820,O,17 31 47.6579,-38 23 07.756,--,--,--,--,--,16.677956,11.283,9.628,8.347
205,LS III +40   24,B,20 46 02.9038,+40 19 17.922,--,12.27,11.52,--,--,11.253658,9.357,9.072,8.974
206,EM* GGR   22,B,21 25 49.7202,+49 26 20.804,--,11.85,11.23,--,--,11.134046,9.75,9.565,9.436
207,BD+56   488,B,02 18 13.5196,+57 21 30.875,--,10.42,10.1,--,--,9.979048,9.295,9.257,9.171
208,GJ  2143,M,18 58 20.0738,+06 09 05.381,--,11.14,10.51,--,--,10.400433,9.315,9.139,9.03
209,CHSS  671,F,09 36 29.3085,+29 04 30.320,--,--,15.62,--,--,15.540793,14.863,14.667,14.653
210,V* V580 Sco,O,16 55 59.9167,-37 54 16.080,--,--,13.0,--,--,11.648096,5.144,3.784,3.14
211,HD  16444,G,02 39 31.9853,+40 08 18.175,--,9.54,9.1,--,--,9.020156,8.24,8.099,8.041
212,HS 0714+4753,F,07 18 42.7767,+47 47 50.853,--,17.3,--,--,--,16.566164,15.562,15.191,15.398
213,V* V1451 Oph,M,17 08 57.0873,-21 37 14.200,--,--,--,--,--,12.722816,9.832,8.886,8.488
214,IRAS 17043-3907,O,17 07 50.380,-39 11 43.27,--,--,--,--,--,--,13.849,10.528,8.351
215,IRAS 01571+6018,B,02 00 39.4650,+60 32 59.134,--,--,15.508,15.206,--,14.8705,12.452,11.263,9.88
216,HD  27024,A,04 18 27.4695,+46 51 11.964,--,10.71,10.3,--,--,10.361905,9.596,9.454,9.435
217,HD 285059,K,05 00 48.9306,+20 16 34.113,--,11.98,10.37,--,--,9.616763,7.136,6.398,6.152
218,IRAS 17387-3757,O,17 42 10.9992,-37 59 19.373,--,--,--,--,--,12.362125,6.529,5.337,4.528
219,HD 204101,A,21 24 38.6906,+52 29 41.235,--,9.27,9.2,--,--,9.167586,8.925,8.957,8.925
220,TYC 3424-883-1,F,09 02 32.5068,+46 27 49.993,--,12.17,11.42,--,--,11.833742,11.074,10.888,10.842
221,TYC 2415-1577-1,K,05 32 44.2853,+36 20 41.133,--,11.47,10.4,--,--,10.153115,8.435,7.852,7.733
222,ROTSE1 J150930.64+252911.8,M,15 09 30.6524,+25 29 11.874,--,--,--,--,--,11.905117,9.712,8.916,8.686
223,LS   V +57   45,B,02 32 59.1572,+57 28 34.788,--,11.78,11.26,--,--,10.995702,10.106,10.053,9.985
224,BD+63  1695,K,21 06 06.4433,+64 08 19.033,--,11.88,9.87,--,--,8.915923,6.08,5.175,4.878
225,HD 286131,A,04 53 50.6133,+18 11 14.216,--,12.59,12.12,--,--,11.690568,10.667,10.501,10.432
226,BD+86   238,M,15 48 10.4597,+85 48 50.221,--,12.179,10.505,10.073,--,9.897115,7.499,6.704,6.491
227,EQ 1617-250,M,16 20 52.1,-25 08 02,--,13.9,13.1,--,--,--,--,--,--
228,LS   I +62  208,B,02 20 43.6104,+63 11 44.637,--,11.17,10.86,10.72,--,10.70363,9.864,9.806,9.757
229,V* V1882 Oph,M,17 19 56.7539,-18 04 54.308,--,--,--,--,--,12.113021,8.948,7.992,7.639
230,LS   V +52   14,B,03 57 39.3340,+52 38 57.634,--,12.78,12.09,--,--,12.254898,10.69,10.487,10.344
