C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
70  |BD+43 3714                         |*  |20 46 46.3433017944 +43 47 34.489930236|     ~   |11.30    |10.44    |     ~   |     ~   |B              |   6|   0
71  |LS III +43 14                      |*  |20 50 18.9395578800 +43 21 11.136100968|     ~   |12.83    |12.01    |     ~   |     ~   |B              |   5|   0
72  |EM* LkHA 372                       |Em*|20 52 37.3346481552 +43 05 46.729123368|     ~   |14.636   |13.618   |     ~   |12.136   |B              |   6|   0
73  |EM* MWC 1029                       |Em*|20 45 54.2478352440 +42 33 55.993417236|     ~   |12.05    |11.03    |     ~   |     ~   |B              |   9|   0
74  |LS III +46 34                      |*  |20 57 41.9536537104 +46 15 27.139528224|     ~   |11.62    |11.10    |     ~   |     ~   |B              |   5|   0
75  |LS III +45 28                      |*  |20 51 11.9192169624 +45 18 04.920009876|     ~   |11.61    |10.76    |     ~   |     ~   |B              |   6|   0
76  |LS III +45 36                      |*  |20 54 28.2707189928 +45 47 33.766170000|     ~   |11.84    |11.55    |     ~   |     ~   |B              |   5|   0
77  |LS III +45 37                      |Em*|20 56 21.9340243896 +45 37 18.577258284|     ~   |11.60    |11.24    |     ~   |     ~   |B              |  10|   0
78  |BD+45 3348                         |*  |20 57 57.7332067968 +45 44 45.682697544|     ~   |10.39    |10.28    |     ~   |     ~   |B              |   5|   0
79  |LS III +45 39                      |Em*|20 58 14.4095488056 +46 01 11.071148556|     ~   |11.2     |11.1     |     ~   |     ~   |B              |   8|   0
80  |EM* UHA 97                         |Em*|20 59 18.5296195272 +45 29 49.935250932|     ~   |11.31    |11.10    |     ~   |     ~   |B              |  11|   0
81  |LS III +44 23                      |*  |20 51 45.7110041712 +45 02 28.064944104|     ~   |12.75    |12.45    |     ~   |     ~   |B              |   5|   0
82  |EM* LkHA 374                       |Em*|20 54 58.7158347840 +44 54 55.359474696|     ~   |12.9     |11.4     |     ~   |     ~   |B              |  12|   0
83  |LS III +44 27                      |*  |20 55 35.5937195208 +45 09 01.087035120|     ~   |12.32    |11.52    |     ~   |     ~   |B              |   6|   0
84  |LS III +44 29                      |*  |20 56 42.7677892248 +44 52 58.305276444|     ~   |12.07    |11.17    |10.89    |     ~   |B              |   4|   0
85  |LS III +44 32                      |*  |20 58 49.9063448040 +44 57 27.265280364|     ~   |11.43    |11.11    |     ~   |     ~   |B              |   7|   0
86  |LS III +44 34                      |*  |21 00 06.6807152808 +44 45 35.119779804|     ~   |11.75    |10.94    |     ~   |     ~   |B              |   5|   0
87  |EM* UHA 93                         |Em*|20 58 46.3547640840 +45 54 27.925427988|     ~   |14.5     |14.0     |     ~   |     ~   |B              |   3|   0
88  |EM* UHA 109                        |Em*|21 00 57.2074688232 +45 24 12.655192104|     ~   |11.70    |11.62    |     ~   |     ~   |B              |   4|   0
89  |LS III +45 47                      |*  |21 04 15.2096809080 +45 51 23.203960200|     ~   |11.29    |11.21    |     ~   |     ~   |B              |   5|   0
90  |BD+45 3396                         |Pu*|21 05 15.2101173336 +45 51 13.104011268|     ~   |12.25    |12.26    |     ~   |     ~   |B              |   5|   0
91  |EM* UHA 138                        |Em*|21 08 23.3431533840 +45 16 24.967733628|     ~   |11.6     |11.2     |     ~   |     ~   |B              |  14|   0
92  |LS III +44 35                      |*  |21 02 21.9297428832 +44 25 14.948430924|     ~   |12.46    |11.95    |     ~   |     ~   |B              |   5|   0
93  |EM* LkHA 375                       |Em*|20 56 24.4950566664 +44 56 22.382234952|     ~   |     ~   |16.0     |     ~   |     ~   |B              |   5|   0
94  |LS III +45 31                      |*  |20 52 00.7009329120 +45 33 52.276064040|     ~   |10.0     |     ~   |     ~   |     ~   |B              |   4|   0
95  |LS III +46 45                      |Em*|21 08 22.3547503536 +47 08 03.847014528|11.18    |11.57    |10.81    |     ~   |     ~   |B              |   9|   0
96  |LS III +46 46                      |*  |21 09 44.7577556592 +46 42 07.671463236|     ~   |12.02    |11.29    |     ~   |     ~   |B              |   4|   0
97  |LS III +46 47                      |*  |21 10 14.0326518264 +46 45 07.316136000|     ~   |12.4     |     ~   |     ~   |     ~   |B              |   6|   0
98  |LS III +46 48                      |*  |21 10 15.0602677368 +46 45 15.415954992|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   5|   0
99  |LS III +46 49                      |*  |21 11 29.1869796720 +46 48 40.172205744|     ~   |12.36    |12.58    |     ~   |     ~   |B              |   5|   0
100 |LS III +46 51                      |*  |21 12 02.1995454120 +46 59 06.751611636|     ~   |12.70    |12.20    |12.05    |     ~   |B              |   5|   0
101 |BD+46 3253                         |*  |21 16 51.2305350720 +46 47 39.311255652|     ~   |10.58    |10.12    |     ~   |     ~   |B              |   7|   0
102 |LS III +45 57                      |*  |21 11 23.3625697104 +45 57 54.206538228|     ~   |11.61    |10.95    |     ~   |     ~   |B              |   6|   0
103 |LS III +45 63                      |*  |21 12 52.3949303448 +45 26 09.078563076|     ~   |11.10    |10.74    |     ~   |     ~   |B              |   5|   0
104 |PN M 1-77                          |PN |21 19 07.3684546776 +46 18 47.160663156|     ~   |12.34    |11.91    |12.05    |     ~   |B              |  72|   0
105 |LS III +46 39                      |*  |21 02 06.9527315112 +46 28 27.108018084|     ~   |11.43    |10.73    |     ~   |     ~   |B              |   7|   0
106 |LS III +45 49                      |*  |21 06 30.3727820640 +45 57 16.992311184|     ~   |11.73    |11.70    |     ~   |     ~   |B              |   5|   0
107 |EM* UHA 139                        |Em*|21 08 59.7656039352 +45 39 40.238731836|     ~   |15.5     |15.0     |     ~   |     ~   |B              |   3|   0
108 |LS III +45 58                      |*  |21 11 39.4802275272 +45 30 12.987483840|     ~   |10.84    |10.76    |     ~   |     ~   |B              |   9|   0
109 |LS III +47 36                      |*  |21 24 10.9913565024 +47 59 28.352371668|     ~   |11.71    |10.89    |     ~   |     ~   |B              |  10|   0
110 |LS III +47 37                      |** |21 24 12.51 +48 00 39.9                |     ~   |13.2     |     ~   |     ~   |     ~   |B              |   6|   0
111 |LS III +47 38                      |*  |21 24 14.3434212432 +48 00 34.351027020|     ~   |13.23    |12.53    |12.40    |     ~   |B              |   8|   0
112 |LS III +47 40                      |*  |21 24 56.6402996808 +48 12 28.657948356|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   5|   0
