C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
373 |LS III +58 32                      |*  |22 28 38.5763325120 +58 23 30.188252580|     ~   |11.38    |10.86    |     ~   |     ~   |B              |  10|   0
374 |EM* GGR 75                         |Y*?|22 29 07.7470480224 +58 38 35.223189144|     ~   |12.63    |12.19    |     ~   |     ~   |B              |  10|   0
375 |LS III +58 34                      |*  |22 30 12.9581820768 +58 53 49.712356284|     ~   |11.89    |11.20    |     ~   |     ~   |B              |   6|   0
376 |LS III +58 39                      |*  |22 34 55.7110214856 +58 39 57.430713420|     ~   |11.66    |11.34    |     ~   |     ~   |B              |   7|   0
377 |LS III +58 43                      |*  |22 36 30.3367341288 +59 13 29.484223428|     ~   |12.44    |11.60    |11.47    |     ~   |B              |   5|   0
378 |EM* GGR 87                         |Em*|22 38 41.1641391288 +58 17 15.646576524|     ~   |12.3     |12.3     |     ~   |     ~   |B              |   8|   0
379 |LS III +58 47                      |Em*|22 39 20.7462863160 +59 08 04.748784000|     ~   |12.47    |11.85    |     ~   |     ~   |B              |   9|   0
380 |HD 240016                          |*  |22 39 22.5468294360 +59 00 25.787315088|     ~   |10.29    |9.74     |     ~   |     ~   |B              |  18|   0
381 |EM* GGR 97                         |Em*|22 44 02.3152542816 +58 30 15.132644604|     ~   |13.10    |12.42    |     ~   |     ~   |B              |  11|   0
382 |LS III +57 60                      |*  |22 34 56.2185752232 +58 14 46.304223252|     ~   |12.36    |12.06    |     ~   |     ~   |B              |   8|   0
383 |LS III +57 61                      |*  |22 37 33.1245176112 +58 08 33.985190616|     ~   |12.13    |11.70    |     ~   |     ~   |B              |   7|   0
384 |LS III +57 62                      |*  |22 38 13.0493246400 +57 45 25.111157904|     ~   |11.63    |11.35    |     ~   |     ~   |B              |   6|   0
385 |LS III +57 66                      |*  |22 41 48.0573381552 +58 01 46.434333864|     ~   |11.36    |11.23    |     ~   |     ~   |B              |   6|   0
386 |LS III +57 67                      |*  |22 43 33.5957792856 +58 05 47.361567264|     ~   |12.02    |11.83    |     ~   |     ~   |B              |   8|   0
387 |LS III +56 62                      |*  |22 30 12.7033711920 +57 10 09.175128276|     ~   |12.14    |11.97    |     ~   |     ~   |B              |   6|   0
388 |LS III +57 58                      |Em*|22 30 57.1396909152 +57 15 50.421200472|     ~   |12.57    |12.09    |     ~   |     ~   |B              |   9|   0
389 |LS III +60 24                      |*  |22 46 33.8235883776 +60 25 01.014089844|11.26    |11.4     |10.9     |     ~   |     ~   |B              |   7|   0
390 |LS III +60 25                      |*  |22 46 56.0065820904 +60 25 01.993930788|11.45    |11.6     |11.0     |     ~   |     ~   |B              |   7|   0
391 |LS III +60 27                      |*  |22 50 22.7824980936 +60 26 44.852520876|11.69    |11.8     |11.0     |     ~   |     ~   |B              |   7|   0
392 |LS III +59 33                      |Em*|23 00 00.5297501112 +59 19 18.602309064|10.45    |10.80    |10.40    |     ~   |     ~   |B              |  10|   0
393 |EM* GGR 121                        |Em*|22 56 50.8095627048 +58 48 23.492201112|12.19    |12.51    |11.96    |     ~   |     ~   |B              |  10|   0
394 |LS III +57 75                      |*  |22 46 33.2605890480 +57 47 50.287011756|     ~   |10.62    |10.28    |     ~   |     ~   |B              |   8|   0
395 |BD+58 2468                         |*  |22 40 47.5999736280 +59 41 13.848319356|11.8     |11.43    |10.33    |     ~   |     ~   |B              |  10|   0
396 |CSI+57-22463                       |*  |22 48 18.0 +58 01 00                   |     ~   |     ~   |10.4     |     ~   |     ~   |B              |   0|   0
397 |LS III +60 32                      |*  |23 01 39.2214028176 +60 58 07.903894404|12.38    |12.40    |11.53    |     ~   |     ~   |B              |   6|   0
398 |LS III +60 34                      |*  |23 05 23.3493531144 +60 33 01.905793632|12.13    |11.82    |11.61    |     ~   |     ~   |B              |  13|   0
399 |LS III +60 35                      |*  |23 06 55.9107197064 +61 11 41.682111432|12.63    |12.63    |11.72    |     ~   |     ~   |B              |   6|   0
400 |LS III +60 37                      |*  |23 10 12.2797678560 +61 05 30.330963528|12.61    |12.83    |12.22    |     ~   |     ~   |B              |   6|   0
401 |LS III +60 45                      |*  |23 11 08.0243934672 +60 46 29.132423544|11.99    |12.39    |11.86    |     ~   |     ~   |B              |   6|   0
402 |LS III +60 48                      |*  |23 11 52.8517966608 +60 56 55.366807272|     ~   |10.64    |10.20    |     ~   |     ~   |B              |   5|   0
403 |LS III +60 53                      |*  |23 13 10.9857247176 +60 42 19.804891644|12.69    |11.6     |10.40    |     ~   |     ~   |B              |   7|   0
404 |LS III +59 44                      |*  |23 07 14.3193489096 +59 40 37.333994736|12.6     |12.46    |11.05    |10.65    |     ~   |B              |   6|   0
405 |BD+59 2681                         |*  |23 15 10.0022019240 +59 53 21.400572444|10.3     |10.65    |10.25    |     ~   |     ~   |B              |   8|   0
406 |LS III +59 64                      |*  |23 16 34.0028947800 +59 33 29.557846548|11.46    |12.01    |11.66    |     ~   |     ~   |B              |   6|   0
407 |LS III +59 65                      |*  |23 16 46.2521008992 +59 34 53.104446588|10.82    |11.40    |11.14    |     ~   |     ~   |B              |   6|   0
408 |LS III +58 77                      |*  |23 05 40.2490961784 +59 10 57.839280312|12.3     |12.42    |12.24    |     ~   |     ~   |B              |   5|   0
409 |LS III +58 78                      |*  |23 05 41.2849592760 +59 11 20.045457960|11.99    |12.14    |11.53    |     ~   |     ~   |B              |   6|   0
410 |JCMTSF J231256.2+594437            |*  |23 12 56.6 +59 44 30                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |  10|   0
411 |LS III +59 37                      |*  |23 01 28.7586239640 +59 44 00.906712224|11.8     |12.09    |11.32    |     ~   |     ~   |B              |   7|   0
412 |BD+58 2541                         |*  |23 04 45.5986410528 +58 52 07.916035152|12.2     |11.5     |10.8     |     ~   |     ~   |B              |   6|   0
413 |LS III +61 27                      |Em*|23 21 11.4461455200 +61 31 33.214877724|     ~   |12.55    |11.419   |     ~   |     ~   |B              |   8|   0
414 |LS III +61 41                      |*  |23 27 51.3055687080 +61 21 15.242615928|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   4|   0
415 |LS III +61 46                      |*  |23 37 22.7429264232 +61 40 23.928444768|11.26    |11.4     |11.0     |     ~   |     ~   |B              |   8|   0
416 |LS III +61 47                      |*  |23 37 51.3062900880 +61 19 36.306332436|11.77    |12.15    |11.60    |     ~   |     ~   |B              |   8|   0
417 |LS III +60 77                      |*  |23 23 09.5667990576 +60 58 07.279558428|     ~   |12.53    |11.89    |     ~   |     ~   |B              |   6|   0
418 |EM* GGR 140                        |Em*|23 23 13.2922603152 +60 38 59.806153572|     ~   |12.47    |12.07    |     ~   |     ~   |B              |   9|   0
419 |LS I +60 7                         |*  |23 32 23.1125979600 +60 40 06.025533564|12.2     |12.34    |11.51    |     ~   |     ~   |B              |  11|   0
420 |LS III +60 85                      |*  |23 32 51.6075467160 +61 03 33.998824800|12.25    |12.48    |11.82    |     ~   |     ~   |B              |   8|   0
421 |LS I +60 9                         |*  |23 33 37.2813625248 +60 33 32.161405572|12.04    |12.27    |11.37    |     ~   |     ~   |B              |   8|   0
422 |LS III +59 77                      |*  |23 22 45.5849449248 +59 56 27.132050760|     ~   |12.04    |11.38    |     ~   |     ~   |B              |   7|   0
423 |LS I +60 15                        |Em*|23 36 40.1786200584 +60 16 52.241574432|12.71    |12.41    |11.23    |     ~   |     ~   |B              |  12|   0
424 |LS I +59 17                        |*  |23 48 38.4888784536 +59 17 02.621731524|12.59    |12.84    |12.09    |     ~   |     ~   |B              |   9|   0
425 |LS I +61 23                        |*  |23 42 26.0353739064 +61 33 52.155292284|11.76    |12.06    |11.31    |     ~   |     ~   |B              |  10|   0
426 |EM* GGR 158                        |Em*|23 48 03.7702097160 +61 19 53.523604992|12.56    |12.82    |12.05    |     ~   |     ~   |B              |  12|   0
427 |LS I +61 67                        |*  |23 48 41.0185949976 +61 37 00.764137236|12.41    |12.81    |12.31    |12.30    |     ~   |B              |   8|   0
428 |LS I +60 24                        |Em*|23 43 53.0285418072 +61 10 32.629710000|12.9     |13.08    |12.34    |     ~   |     ~   |B              |  12|   0
429 |LS I +60 27                        |*  |23 45 44.8008360576 +60 23 05.688003012|12.66    |12.92    |12.14    |     ~   |     ~   |B              |  10|   0
430 |LS I +60 28                        |*  |23 45 46.5767358408 +60 21 21.675203892|12.5     |12.66    |11.71    |     ~   |     ~   |B              |  10|   0
431 |LS I +60 43                        |*  |23 50 57.1877761176 +60 51 17.877840408|12.99    |13.14    |12.27    |     ~   |     ~   |B              |  13|   0
432 |LS I +60 52                        |*  |23 53 08.2720570248 +60 36 27.373894848|12.32    |12.50    |11.67    |     ~   |     ~   |B              |  10|   0
433 |IRAS 23430+5919                    |*  |23 45 31.0 +59 36 13                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |   2|   0
434 |LS I +60 19                        |*  |23 39 43.6755001800 +61 12 37.529799840|12.19    |12.41    |11.70    |     ~   |     ~   |B              |   8|   0
435 |[GG52] 36                          |*  |23 43 24.0 +61 30 00                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |   1|   0
436 |LS I +58 15                        |*  |00 16 28.1242681584 +59 04 45.455455200|10.37    |10.70    |10.26    |     ~   |     ~   |B              |   6|   0
437 |LS I +61 125                       |V* |00 09 21.3237852888 +61 25 27.449421528|11.96    |12.08    |11.28    |     ~   |     ~   |B              |   8|   0
438 |LS I +61 127                       |*  |00 12 11.0676788736 +61 23 22.922022336|12.73    |13.09    |12.57    |     ~   |     ~   |B              |   5|   0
439 |LS I +61 132                       |Pu*|00 16 42.8814147984 +61 45 41.621318136|11.33    |11.81    |11.41    |     ~   |     ~   |B              |  10|   0
440 |LS I +60 83                        |*  |00 05 33.5611263600 +60 49 51.766318560|12.17    |12.61    |12.20    |12.21    |     ~   |B              |   5|   0
441 |LS I +60 84                        |*  |00 05 55.1945122776 +61 02 26.282391684|13.38    |12.79    |11.26    |     ~   |     ~   |B              |   6|   0
442 |LS I +60 91                        |*  |00 10 00.7357796736 +60 32 07.480328424|10.62    |11.25    |11.00    |     ~   |     ~   |B              |   6|   0
443 |LS I +60 94                        |*  |00 13 25.4899799664 +61 12 39.604026312|10.05    |10.49    |10.00    |     ~   |     ~   |B              |   5|   0
444 |LS I +60 95                        |*  |00 15 08.1717449952 +60 58 24.019257648|12.75    |12.86    |12.36    |     ~   |     ~   |B              |   8|   0
445 |LS I +60 96                        |Em*|00 16 34.6329551592 +60 36 38.581441308|10.79    |11.1     |10.9     |     ~   |     ~   |B              |   9|   0
446 |LS I +60 97                        |*  |00 17 13.6706916624 +60 52 27.051486708|12.26    |12.59    |12.08    |12.05    |     ~   |B              |   8|   0
447 |LS I +59 31                        |*  |00 08 34.1147969976 +60 07 11.262580968|12.65    |12.88    |12.31    |12.22    |     ~   |B              |   5|   0
448 |LS I +60 65                        |*  |00 00 48.4603629264 +61 02 49.419973356|11.56    |11.96    |11.51    |     ~   |     ~   |B              |   6|   0
449 |LS I +60 114                       |*  |00 31 48.0032586048 +60 34 05.596718736|10.84    |11.03    |10.8     |     ~   |     ~   |B              |  11|   0
450 |BD+59 49                           |*  |00 23 57.8407754856 +60 30 48.630894660|10.93    |11.36    |10.95    |     ~   |     ~   |B              |  10|   0
451 |GSC 04016-01782                    |** |00 36 36.5827202520 +60 15 03.510434412|10.13    |10.763   |10.535   |10.584   |     ~   |B              |   7|   0
452 |LS I +59 48                        |Em*|00 36 47.7375526224 +59 41 26.457996984|11.16    |11.6     |11.1     |     ~   |     ~   |B              |   9|   0
453 |EM* GGR 181                        |Em*|00 21 34.4857595112 +61 27 29.295739872|12.64    |12.86    |12.21    |     ~   |     ~   |B              |  10|   0
454 |EM* GGR 186                        |Em*|00 29 10.2777216696 +60 32 17.769119136|     ~   |12.28    |11.75    |     ~   |     ~   |B              |   8|   0
455 |LS I +60 111                       |Em*|00 29 56.4423012744 +60 21 08.948554380|11.58    |11.96    |11.33    |     ~   |     ~   |B              |  14|   0
456 |BD+59 44                           |*  |00 23 16.3372174200 +59 59 55.611790764|     ~   |9.99     |9.91     |     ~   |     ~   |B              |   2|   0
457 |TYC 3665-263-1                     |Em*|00 25 05.9760683040 +59 46 13.092788100|     ~   |12.68    |12.48    |     ~   |     ~   |B              |   3|   0
458 |EM* GGR 191                        |Em*|00 33 05.5878025512 +59 04 02.722702296|     ~   |16.1     |     ~   |13.66    |     ~   |B              |   3|   0
459 |LS I +60 135                       |*  |00 58 28.0873422312 +60 48 13.314177576|     ~   |13.16    |12.78    |12.55    |     ~   |B              |   5|   0
460 |LS I +60 126                       |*  |00 51 42.4160919176 +61 00 45.203900060|     ~   |12.16    |11.52    |11.68    |     ~   |B              |   4|   0
461 |EM* GGR 201                        |Em*|00 43 15.4573865304 +59 52 19.983028836|     ~   |     ~   |12.3     |     ~   |     ~   |B              |   5|   0
462 |LS I +59 69                        |*  |01 26 37.9061908632 +60 01 52.681129572|10.34    |10.92    |10.70    |     ~   |     ~   |B              |   8|   0
463 |BD+57 245                          |*  |01 18 59.9298347568 +58 05 58.481729700|9.6      |10.12    |9.85     |     ~   |     ~   |B              |  17|   0
464 |HD 236850                          |*  |01 44 35.9573822256 +57 42 14.655373344|     ~   |10.34    |10.14    |     ~   |     ~   |B              |   9|   0
465 |EM* GGA 114                        |Em*|01 49 31.3204106448 +58 56 49.115240304|     ~   |     ~   |12.82    |12.22    |     ~   |B              |   4|   0
466 |BD+56 472                          |*  |02 16 53.0328642960 +56 52 15.329679492|9.49     |10.03    |9.1828   |     ~   |8.7606   |B              |  16|   0
467 |BD+56 477                          |bC*|02 17 04.4992085976 +56 58 07.193831628|     ~   |10.21    |9.3310   |     ~   |8.9269   |B              |  16|   0
468 |LS V +56 21                        |*  |02 18 43.1145839112 +56 33 59.065013016|     ~   |11.35    |11.20    |     ~   |     ~   |B              |   7|   0
469 |BD+56 546                          |*  |02 20 13.5198388824 +56 44 24.223146252|     ~   |10.73    |10.53    |     ~   |     ~   |B              |  10|   0
470 |BD+55 602                          |*  |02 23 02.0695656408 +56 30 30.087376056|     ~   |11.10    |10.81    |     ~   |     ~   |B              |   7|   0
471 |LS V +55 4                         |*  |02 18 22.8285005784 +55 57 53.568412812|     ~   |12.06    |12.10    |     ~   |     ~   |B              |   6|   0
472 |LS V +55 8                         |*  |02 36 38.4032497656 +55 16 48.581356224|     ~   |10.89    |10.78    |     ~   |     ~   |B              |   9|   0
473 |EM* GGA 193                        |Em*|02 38 01.3642160304 +55 10 30.773109036|     ~   |10.98    |10.82    |     ~   |     ~   |B_             |   7|   0
474 |LS V +52 2                         |*  |02 52 07.5294204624 +52 17 22.766197164|     ~   |11.41    |11.25    |     ~   |     ~   |B              |   5|   0
475 |LS V +51 2                         |*  |03 05 49.8857228208 +51 44 23.592780312|     ~   |11.30    |10.97    |     ~   |     ~   |B              |   5|   0
476 |LS V +48 2                         |Pu*|03 21 35.0834839536 +48 50 51.560015244|     ~   |11.16    |10.94    |     ~   |     ~   |B              |   6|   0
477 |EM* MWC 459                        |Em*|03 26 27.8658644616 +48 59 30.355292580|     ~   |10.50    |10.14    |     ~   |     ~   |B              |  10|   0
478 |BD+43 823                          |** |03 50 22.4070928080 +44 03 28.335080160|     ~   |10.92    |10.40    |     ~   |     ~   |B              |   8|   0
479 |BD+43 842                          |*  |03 55 43.9072210560 +43 34 13.501481556|     ~   |10.57    |10.31    |     ~   |     ~   |B              |   5|   0
480 |LS V +42 2                         |*  |03 50 07.5394984944 +42 47 45.037624596|     ~   |12.21    |11.84    |     ~   |     ~   |B              |   5|   0
481 |LS V +42 3                         |*  |04 01 54.5172690984 +42 10 07.950996300|     ~   |12.85    |12.49    |12.46    |     ~   |B              |   4|   0
482 |LS V +41 2                         |*  |03 58 13.8232275192 +42 02 16.301278032|     ~   |12.88    |12.37    |12.17    |     ~   |B              |   4|   0
483 |LS V +40 3                         |EB?|03 58 52.2281311008 +41 07 06.120114744|     ~   |12.60    |12.01    |     ~   |     ~   |B              |   7|   0
484 |LS III +47 4                       |Em*|20 18 03.0412541808 +47 11 46.908143880|     ~   |12.24    |11.65    |     ~   |     ~   |B              |   7|   0
485 |LS III +51 4                       |*  |20 38 08.5801908384 +52 07 12.630074556|     ~   |12.29    |11.56    |     ~   |     ~   |B              |   6|   0
486 |BD+49 3309                         |*  |20 32 36.8234159064 +49 57 43.073577252|     ~   |10.07    |9.93     |     ~   |     ~   |B              |   5|   0
487 |BD+51 2945                         |*  |20 45 34.3334252016 +51 33 00.119057904|     ~   |10.07    |9.81     |     ~   |     ~   |B              |   6|   0
488 |LS III +54 106                     |*  |21 03 15.8591798856 +55 09 27.858881520|     ~   |12.12    |11.61    |     ~   |     ~   |B              |   5|   0
489 |Cl Trumpler 37 470                 |*  |21 39 13.9636972968 +57 28 33.612683268|     ~   |12.88    |12.36    |12.28    |     ~   |B              |   6|   0
490 |BD+60 2338                         |** |22 06 03.8157082848 +60 47 44.889610344|     ~   |10.813   |10.421   |10.367   |     ~   |B              |   5|   0
491 |BD+59 2434                         |** |21 55 35.9759 +60 40 20.551            |     ~   |10.88    |10.34    |     ~   |     ~   |B              |   8|   0
492 |LS III +59 15                      |*  |22 00 46.3023159912 +59 23 23.111424096|     ~   |12.04    |11.17    |     ~   |     ~   |B              |   5|   0
493 |LS III +60 19                      |*  |22 25 46.0584079368 +60 45 55.429540164|     ~   |12.61    |12.06    |     ~   |     ~   |B              |   5|   0
494 |LS III +60 22                      |*  |22 34 06.5163217704 +60 58 50.151627120|10.99    |11.07    |10.52    |     ~   |     ~   |B              |   7|   0
495 |LS III +59 27                      |Y*?|22 23 10.2030309912 +59 52 03.324719460|     ~   |13.09    |12.26    |12.04    |     ~   |B              |   6|   0
496 |LS III +61 9                       |Y*O|22 16 43.4316949800 +61 24 17.529599736|     ~   |11.212   |10.736   |10.644   |     ~   |B              |  19|   0
497 |LS III +60 13                      |*  |22 13 50.3828084976 +60 45 28.567515636|     ~   |11.61    |10.86    |     ~   |     ~   |B              |   5|   0
498 |BD+59 2499                         |*  |22 15 44.0541685296 +60 32 48.033587004|     ~   |11.03    |10.35    |     ~   |     ~   |B              |   5|   0
499 |LS III +62 20                      |*  |22 52 32.4335596320 +62 27 42.246428184|     ~   |11.72    |11.04    |     ~   |     ~   |B              |   6|   0
500 |LS III +61 13                      |*  |22 38 24.4804921224 +62 09 27.318459240|11.33    |11.4     |10.59    |     ~   |     ~   |B              |   5|   0
501 |LS III +61 14                      |*  |22 38 50.9226046656 +61 18 43.257039408|12.24    |11.6     |11.3     |     ~   |     ~   |B              |   5|   0
502 |IRAS 22451+6154                    |*  |22 47 02.1 +62 10 11                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |  20|   0
503 |IRAS 22510+6153                    |*  |22 52 57.4 +62 08 58                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |   5|   0
504 |LS III +62 14                      |*  |22 32 33.6735566544 +62 26 20.539240116|     ~   |11.71    |11.11    |     ~   |     ~   |B              |   6|   0
505 |LS III +60 23                      |*  |22 36 41.4550204536 +61 09 51.797330100|11.17    |11.3     |10.8     |     ~   |     ~   |B              |   6|   0
506 |LS III +63 15                      |Em*|22 57 22.4687934984 +63 26 29.566725540|     ~   |11.49    |10.87    |     ~   |     ~   |B              |   7|   0
507 |LS III +62 37                      |*  |23 01 22.5426712584 +62 48 53.482824288|     ~   |12.11    |11.69    |     ~   |     ~   |B              |   6|   0
508 |TYC 4282-989-1                     |*  |22 54 18.2314938792 +63 14 50.273151000|     ~   |11.3     |11.0     |     ~   |     ~   |B              |   6|   0
509 |LS III +62 27                      |Y*O|22 55 03.9823083672 +62 49 33.787468884|     ~   |12.46    |12.22    |     ~   |11.58    |B              |  11|   0
510 |LS I +61 13                        |*  |23 35 57.3211730856 +61 57 02.358980316|12.67    |12.75    |11.76    |     ~   |     ~   |B              |   7|   0
511 |IRAS 23257+6131                    |*  |23 27 58.8 +61 47 59                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |   2|   0
512 |LS III +62 41                      |*  |23 24 04.4958596928 +63 00 01.086194304|     ~   |12.49    |11.91    |     ~   |     ~   |B              |   6|   0
513 |LS III +62 42                      |*  |23 24 04.6430349168 +62 21 45.791858520|     ~   |11.91    |11.69    |     ~   |     ~   |B              |   6|   0
514 |LS III +62 44                      |*  |23 24 51.7243732392 +62 32 54.531324852|     ~   |11.97    |11.89    |     ~   |     ~   |B              |   5|   0
515 |LS I +62 2                         |*  |23 31 27.0031838256 +62 30 36.446760036|12.71    |12.80    |11.91    |     ~   |     ~   |B              |   6|   0
516 |TYC 4284-1250-1                    |*  |23 27 04.5209452320 +61 53 03.996167676|     ~   |11.57    |10.34    |     ~   |     ~   |B              |   3|   0
517 |LS I +63 2                         |*  |23 30 34.2997428576 +63 36 59.756159232|     ~   |12.32    |11.79    |     ~   |     ~   |B              |   6|   0
518 |LS I +61 40                        |*  |23 44 58.8257711112 +61 54 35.693586612|12       |12.39    |11.81    |     ~   |     ~   |B              |   7|   0
519 |LS I +61 58                        |*  |23 47 40.1742601176 +62 02 20.526163980|11.98    |12.47    |12.11    |12.13    |     ~   |B              |   6|   0
520 |LS I +64 3                         |*  |23 53 17.6784440184 +64 18 00.510581016|     ~   |12.09    |11.31    |     ~   |     ~   |B              |   6|   0
521 |LS I +64 5                         |*  |23 57 08.7079886328 +64 34 06.587902272|     ~   |12.54    |12.12    |     ~   |     ~   |B              |   9|   0
522 |LS I +63 8                         |Em*|23 48 10.6406631840 +63 20 08.593371096|     ~   |11.65    |11.06    |     ~   |     ~   |B              |   7|   0
523 |GSC 04285-00757                    |** |23 45 28.6186437432 +63 16 16.801800672|11.53    |11.760   |10.852   |10.591   |     ~   |B              |   7|   0
524 |LS I +62 24                        |*  |23 47 54.3367262040 +63 11 05.835721560|12.57    |12.71    |11.81    |     ~   |     ~   |B              |   5|   0
525 |LS I +62 26                        |*  |23 49 24.8348903280 +62 58 17.978729808|12.78    |13.08    |12.41    |     ~   |     ~   |B              |   6|   0
526 |LS I +62 31                        |*  |23 50 14.3165724384 +62 30 49.226713632|13.18    |13.28    |12.54    |12.47    |     ~   |B              |   6|   0
527 |LS I +62 33                        |*  |23 50 54.7973547192 +62 52 44.348811780|11.99    |12.42    |11.87    |     ~   |     ~   |B              |   6|   0
528 |EM* GGR 164                        |Em*|23 51 47.3629881144 +63 01 26.979792060|12.11    |12.46    |11.90    |     ~   |     ~   |B              |  10|   0
529 |LS I +62 37                        |*  |23 51 50.2817797032 +62 26 18.051856476|11.7     |12.14    |11.67    |     ~   |     ~   |B              |  10|   0
530 |LS I +62 41                        |*  |23 52 33.2714233776 +62 47 27.872209176|12.01    |12.48    |12.01    |     ~   |     ~   |B              |   7|   0
531 |LS I +62 45                        |*  |23 53 35.5602689256 +62 30 59.768951724|12.56    |12.88    |12.26    |     ~   |     ~   |B              |   9|   0
532 |LS III +63 31                      |*  |23 39 13.5853642440 +63 33 12.271879332|     ~   |11.53    |10.75    |     ~   |     ~   |B              |   5|   0
533 |LS I +61 20                        |*  |23 40 08.2938155016 +62 16 29.254816740|12.86    |12.84    |11.98    |     ~   |     ~   |B              |   4|   0
534 |LS III +61 51                      |*  |23 40 25.3845446328 +62 12 37.513038816|     ~   |11.72    |11.08    |     ~   |     ~   |B              |   5|   0
535 |LS I +61 126                       |*  |00 10 18.5179743072 +62 04 22.245683160|11.11    |11.30    |10.8     |     ~   |     ~   |B              |   6|   0
536 |LS I +64 19                        |*  |00 13 49.3323136248 +64 32 52.054209600|     ~   |12.76    |12.21    |12.16    |     ~   |B              |   5|   0
537 |BD+63 11                           |*  |00 13 31.2495235032 +64 32 30.137730036|     ~   |10.56    |10.08    |     ~   |     ~   |B              |   7|   0
538 |BD+63 2100                         |*  |00 04 11.8597440552 +64 17 40.257906900|     ~   |11.00    |10.70    |     ~   |     ~   |B              |   2|   0
539 |EM* GGR 168                        |Em*|00 05 57.6050203320 +63 37 01.344912600|     ~   |11.64    |11.24    |     ~   |     ~   |B              |  11|   0
540 |LS I +63 40                        |*  |00 06 09.4683789600 +64 12 28.711440900|     ~   |11.3     |10.8     |     ~   |     ~   |B              |   8|   0
541 |LS I +63 47                        |*  |00 09 38.0767906920 +63 21 29.783498328|     ~   |11.55    |11.52    |     ~   |     ~   |B              |   6|   0
542 |EM* GGR 177                        |Em*|00 14 53.4355189008 +62 48 30.561848568|11.38    |11.84    |11.48    |     ~   |     ~   |B              |   9|   0
543 |EM* GGR 178                        |Em*|00 17 25.0762033176 +63 09 39.965038344|11.7     |12.06    |11.54    |     ~   |     ~   |B              |  10|   0
544 |LS I +61 130                       |EB*|00 15 21.7438142304 +62 15 04.355388360|12.69    |     ~   |12.29    |12.56    |12.120   |B              |   9|   0
545 |LS I +64 9                         |*  |00 01 13.6043705688 +64 35 18.018495204|     ~   |12.97    |12.56    |12.57    |     ~   |B              |   9|   0
546 |EM* VES 976                        |Em*|00 00 03.8623381920 +63 54 29.684013588|     ~   |12.20    |12.16    |     ~   |     ~   |B              |   8|   0
547 |EM* GGR 167                        |Em*|00 01 45.6151370592 +63 27 58.005165600|     ~   |12.60    |12.27    |12.13    |     ~   |B              |   8|   0
548 |V* V362 Cas                        |V* |00 02 21.4670705856 +63 28 07.327266348|     ~   |     ~   |12.67    |     ~   |     ~   |B              |   9|   0
549 |BD+63 2091                         |*  |00 00 30.7310808168 +64 36 35.120859408|     ~   |10.80    |10.50    |     ~   |     ~   |B              |   2|   0
550 |BD+62 36                           |*  |00 16 30.5810317848 +63 29 21.174373752|     ~   |11.37    |9.82     |     ~   |     ~   |B              |   2|   0
551 |LS I +64 33                        |*  |00 43 19.3549522008 +64 17 01.004986572|     ~   |11.653   |11.088   |     ~   |     ~   |B              |   7|   0
552 |LS I +63 81                        |*  |00 33 12.2935419024 +63 17 45.629352780|     ~   |11.60    |11.30    |11.29    |     ~   |B              |  10|   0
553 |LS I +63 89                        |Em*|00 39 31.8448243632 +63 41 01.312770588|     ~   |11.24    |10.61    |     ~   |     ~   |B              |   9|   0
554 |LS I +63 91                        |Em*|00 40 55.4277620592 +63 25 49.412148636|     ~   |12.88    |12.58    |     ~   |     ~   |B              |   7|   0
555 |LS I +63 92                        |*  |00 41 05.7589615872 +63 25 19.183701648|     ~   |12.19    |11.59    |     ~   |     ~   |B              |   9|   0
556 |LS I +63 93                        |*  |00 41 41.9284135728 +63 35 50.945762256|     ~   |11.64    |11.18    |     ~   |     ~   |B              |   6|   0
557 |LS I +63 95                        |Em*|00 43 46.4057825259 +64 10 41.843472560|     ~   |11.415   |10.797   |     ~   |     ~   |B              |   7|   0
558 |EM* GGR 204                        |Em*|00 44 47.2649158200 +64 14 41.263010808|     ~   |12.810   |12.238   |     ~   |     ~   |B              |  11|   0
559 |LS I +62 102                       |*  |00 26 05.0922181848 +62 22 21.992732148|10.28    |10.79    |10.7     |     ~   |     ~   |B              |  12|   0
560 |LS I +62 103                       |*  |00 26 05.9341314768 +63 16 09.733876896|12.38    |12.73    |12.27    |     ~   |     ~   |B              |   7|   0
561 |LS I +62 117                       |*  |00 30 55.4904497400 +62 56 34.974654828|11.86    |12.15    |11.71    |     ~   |     ~   |B              |   9|   0
562 |LS I +62 120                       |** |00 31 50.359920 +62 53 26.01312        |12.14    |12.323   |11.439   |11.205   |     ~   |B              |   8|   0
