C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
88  |Cl* Melotte 20 DH 100              |*  |03 20 31.7408534424 +49 39 59.700129552|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  11|   0
89  |Cl* Melotte 20 AP 338              |*  |03 24 52.6623980664 +48 46 12.750084840|     ~   |     ~   |     ~   |18.304   |16.069   |M              |   3|   0
90  |Cl* Melotte 20 AP 342              |*  |03 25 39.2483511336 +48 45 21.201970320|     ~   |     ~   |     ~   |18.288   |16.207   |M              |   3|   0
91  |CSS 1168                           |S* |19 52 14.9558884560 +44 43 14.842340544|     ~   |13.35    |11.70    |     ~   |     ~   |MS             |   1|   0
92  |TYC 3576-1403-1                    |*  |20 18 53.1999432720 +47 51 33.383720988|     ~   |11.87    |10.80    |     ~   |     ~   |M              |   1|   0
93  |TYC 3580-1077-1                    |*  |20 17 05.5506748032 +49 35 05.083749960|     ~   |11.95    |10.49    |     ~   |     ~   |M              |   1|   0
94  |HD 235403                          |*  |20 56 02.5262186400 +53 12 32.217994548|     ~   |12.21    |10.15    |     ~   |     ~   |M              |   2|   0
95  |IRAS 20468+5358                    |*  |20 48 17.5962784056 +54 09 59.160471660|     ~   |     ~   |     ~   |11.66    |     ~   |M              |   1|   0
96  |IRAS 20557+5301                    |*  |20 57 15.0867262848 +53 13 12.493405992|     ~   |15.63    |13.16    |12.48    |     ~   |M              |   1|   0
97  |[MK97] 8                           |*  |20 51 35.8988934144 +53 09 57.327060852|     ~   |     ~   |     ~   |12.36    |     ~   |M              |   1|   0
98  |[MK97] 9                           |LP?|20 52 16.6296370896 +53 37 23.271375000|     ~   |     ~   |     ~   |13.74    |     ~   |M              |   1|   0
99  |[MK97] 14                          |*  |20 55 17.9182291368 +53 14 31.332579396|     ~   |16.33    |14.31    |13.96    |     ~   |M              |   1|   0
100 |[MK97] 23                          |PM*|20 57 51.1944775416 +53 07 22.569504132|     ~   |     ~   |     ~   |13.25    |     ~   |M              |   1|   0
101 |HD 235382                          |*  |20 51 09.4264741272 +55 00 41.318712900|     ~   |11.50    |9.85     |     ~   |     ~   |M              |   2|   0
102 |IRAS 20533+5501                    |*  |20 54 46.6583048328 +55 12 57.559521492|     ~   |     ~   |     ~   |12.57    |     ~   |M              |   1|   0
103 |IRAS 20549+5407                    |LP?|20 56 22.6479557712 +54 19 01.639071084|     ~   |     ~   |     ~   |13.05    |     ~   |M              |   2|   0
104 |IRAS 20560+5401                    |*  |20 57 29.6620994520 +54 13 24.548065716|     ~   |     ~   |     ~   |11.04    |     ~   |M              |   1|   0
105 |IRAS 21038+5351                    |*  |21 05 21.4039427208 +54 03 13.758937704|     ~   |15.69    |13.24    |12.18    |     ~   |M              |   1|   0
106 |IRAS 21101+5413                    |*  |21 11 37.1625423480 +54 25 45.718346064|     ~   |14.73    |12.09    |11.19    |     ~   |M              |   1|   0
107 |[MK97] 15                          |*  |20 56 11.4835729824 +54 19 59.662236612|     ~   |     ~   |     ~   |13.35    |     ~   |M              |   1|   0
108 |[MK97] 24                          |*  |20 58 19.9045084632 +54 17 08.309532876|     ~   |     ~   |     ~   |13.07    |     ~   |M              |   1|   0
109 |[MK97] 25                          |*  |20 58 18.5709988416 +55 12 02.518912224|     ~   |     ~   |     ~   |12.99    |     ~   |M              |   1|   0
