C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
362 |V* DX Pup                          |LP*|08 02 11.1091178760 -13 01 05.779170444|     ~   |12.56    |10.58    |8.46     |     ~   |M              |   9|   0
363 |BD-14 2320                         |*  |08 00 41.6034272784 -14 39 52.959739248|     ~   |10.82    |9.18     |     ~   |     ~   |M              |   1|   0
364 |S1* 273                            |S* |07 53 53.2350581160 -15 17 58.032605292|     ~   |14.242   |12.379   |     ~   |     ~   |MS             |   8|   0
365 |BD-22 2126                         |SB*|08 02 25.7537338056 -23 23 16.060962048|     ~   |11.35    |9.78     |     ~   |     ~   |M              |   1|   0
366 |V* PS Mon                          |LP*|08 08 52.0419416712 -10 23 47.060416608|     ~   |11.35    |9.93     |     ~   |     ~   |M              |   4|   0
367 |BD-14 2382                         |*  |08 08 07.6515639576 -14 39 20.829359448|     ~   |11.02    |9.65     |     ~   |     ~   |M              |   1|   0
368 |BD-15 2289                         |*  |08 10 03.7579659528 -15 43 33.329948376|     ~   |11.03    |9.94     |     ~   |     ~   |M              |   2|   0
369 |CLS 3                              |*  |08 22 28.2702548976 +38 03 48.901577112|     ~   |18.0     |     ~   |16.5     |     ~   |M              |   3|   1
370 |CLS 1                              |*  |08 19 49.9695255648 +37 27 29.620424592|     ~   |17.7     |     ~   |16.5     |     ~   |M              |   3|   1
371 |V* FZ Hya                          |LP*|08 21 33.3029607696 +04 57 30.246288984|     ~   |10.01    |9.078    |8.799    |     ~   |M              |  27|   0
372 |BD-15 2347                         |*  |08 15 35.7735212592 -16 20 52.335634992|     ~   |11.32    |10.06    |     ~   |     ~   |M              |   2|   0
373 |V* RX Lyn                          |Mi*|08 28 08.0414974968 +38 20 22.929127728|     ~   |12.36    |10.29    |10.24    |     ~   |M              |  10|   0
374 |BD+37 1882                         |*  |08 36 26.3151123456 +36 56 41.077933404|     ~   |12.399   |11.274   |11.005   |     ~   |M              |   2|   0
375 |BD+00 2306                         |*  |08 28 23.3370963816 -00 21 55.379343708|     ~   |10.74    |9.03     |     ~   |     ~   |M              |   1|   0
376 |BD-22 2272                         |*  |08 26 41.6710224936 -23 09 58.889313792|     ~   |10.682   |9.16     |     ~   |     ~   |M              |   5|   0
377 |V* XZ Pyx                          |LP?|08 28 16.5083183352 -22 58 52.545891792|     ~   |10.85    |9.33     |     ~   |     ~   |M              |  10|   0
378 |BD-22 2285                         |*  |08 28 16.2172918560 -23 20 52.481501052|     ~   |11.42    |9.68     |     ~   |     ~   |M              |   2|   0
379 |BD+36 1855                         |AB*|08 40 25.5388934592 +35 36 24.069425220|     ~   |12.00    |10.61    |8.0      |     ~   |M              |   4|   0
380 |NVSS J084407+280741                |*  |08 44 07.2768659088 +28 07 40.403988300|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
381 |BD-22 2390                         |*  |08 46 26.9791107048 -22 46 25.061408868|     ~   |11.165   |9.51     |     ~   |     ~   |M              |   5|   0
382 |WEL M1                             |PM*|02 39 51.1334965284 -34 37 26.760018711|     ~   |15.238   |13.745   |13.324   |     ~   |M              |   2|   0
383 |WEL M27                            |** |02 40 04.10112 -34 45 14.5980          |     ~   |20.295   |18.871   |     ~   |     ~   |M              |   2|   0
384 |WEL M25                            |*  |02 39 22.6066717128 -34 43 10.267557420|     ~   |     ~   |16.61    |     ~   |     ~   |M              |   1|   0
385 |WEL M26                            |AB*|02 39 30.3259917168 -34 48 02.713484844|     ~   |     ~   |19.09    |     ~   |     ~   |M              |   2|   0
386 |WEL M17                            |*  |02 39 54.9381718728 -34 21 01.551263796|     ~   |22.34    |20.33    |     ~   |     ~   |M              |   3|   0
387 |WEL M7                             |AB*|02 40 14.5522386384 -34 30 41.005687176|     ~   |20.091   |18.606   |     ~   |     ~   |M              |   3|   0
388 |WEL M22                            |*  |02 40 24.4901217000 -34 10 41.218095504|     ~   |20.531   |18.994   |     ~   |     ~   |M              |   2|   0
389 |WEL M13                            |*  |02 39 54.1595127384 -34 32 48.247619424|     ~   |     ~   |20.1     |     ~   |     ~   |M              |   1|   0
390 |WEL M18                            |*  |02 40 18.5157386736 -34 18 54.227745540|     ~   |     ~   |20.1     |     ~   |     ~   |M              |   1|   0
391 |WEL M20                            |*  |02 40 26.6339209368 -34 17 06.779219349|     ~   |     ~   |19.7     |     ~   |     ~   |M              |   1|   0
392 |WEL M21                            |PM*|02 40 22.1597184240 -34 15 33.923203560|     ~   |     ~   |19.7     |     ~   |     ~   |M              |   1|   0
393 |WEL M23                            |*  |02 39 46.4314612750 -34 10 16.714021403|     ~   |     ~   |18.89    |     ~   |     ~   |M              |   1|   0
394 |WEL M24                            |*  |02 40 10.1538888933 -34 11 13.151590167|     ~   |     ~   |20.0     |     ~   |     ~   |M              |   1|   0
395 |WEL M4                             |AB*|02 40 19.6046514896 -34 32 53.226305348|     ~   |20.328   |18.953   |     ~   |     ~   |M              |   3|   0
396 |CRTS J222632.9-340406              |RB?|22 26 32.7655273008 -34 04 08.504853240|     ~   |16.4     |14.71    |     ~   |     ~   |M              |   7|   0
397 |FDF 3595                           |*  |01 06 00.61 -25 45 35.5                |     ~   |24.37    |     ~   |     ~   |     ~   |M              |   2|   0
398 |FDF 6447                           |*  |01 06 10.70 -25 45 06.6                |     ~   |26.41    |     ~   |     ~   |     ~   |M              |   2|   0
399 |FDF 7253                           |*  |01 06 13.40 -25 43 52.0                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
400 |FDF 8167                           |*  |01 06 16.70 -25 47 48.0                |     ~   |25.19    |     ~   |     ~   |     ~   |M              |   2|   0
401 |FDF 1813                           |*  |01 05 54.15 -25 43 22.4                |     ~   |24.70    |     ~   |     ~   |     ~   |M              |   2|   0
402 |FDF 2252                           |*  |01 05 55.80 -25 44 27.1                |     ~   |23.47    |     ~   |     ~   |     ~   |M              |   2|   0
403 |FDF 3559                           |*  |01 06 00.49 -25 43 41.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
404 |FDF 5090                           |*  |01 06 05.82 -25 46 42.4                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
405 |FDF 7373                           |*  |01 06 13.83 -25 48 43.0                |     ~   |23.30    |     ~   |     ~   |     ~   |M              |   2|   0
406 |BD-22 407                          |*  |02 25 07.3553449368 -21 31 54.690157956|     ~   |10.60    |9.48     |     ~   |     ~   |M              |   1|   0
407 |BD-22 388                          |SB*|02 18 48.0143827752 -21 54 35.792728308|     ~   |11.05    |9.69     |     ~   |     ~   |M              |   1|   0
408 |HD 358948                          |*  |21 12 05.9015355096 -19 10 26.601204540|     ~   |12.26    |10.86    |     ~   |     ~   |M              |   2|   0
409 |HD 358186                          |*  |21 03 20.2787543016 -14 47 27.106815192|     ~   |12.06    |10.59    |     ~   |     ~   |M              |   2|   0
410 |HD 358705                          |*  |21 01 32.0599160568 -15 38 52.796230872|     ~   |11.87    |10.55    |     ~   |     ~   |M              |   2|   0
411 |V* AV Aqr                          |Mi*|22 24 13.4529644904 -19 47 42.773461224|     ~   |12.00    |     ~   |     ~   |     ~   |M              |  14|   0
412 |IRAS 23518-2124                    |LP?|23 54 25.7422633872 -21 07 55.322969952|     ~   |     ~   |     ~   |12.64    |9.41     |M              |   2|   0
413 |[BEM91] 21                         |Mi*|00 22 30.9084843096 -18 32 45.176856036|     ~   |     ~   |11.72    |14.32    |     ~   |M              |   8|   0
414 |BD-19 70                           |*  |00 31 16.138 -19 09 10.68              |     ~   |     ~   |8.8      |     ~   |     ~   |M              |   0|   0
415 |FBS 2222-125                       |LP*|22 25 00.4959301704 -12 16 07.314737844|     ~   |     ~   |     ~   |14.02    |     ~   |M              |   8|   0
416 |BD-12 261                          |*  |01 26 54.5936001768 -11 39 26.871833196|     ~   |11.19    |10.02    |     ~   |     ~   |M              |   1|   0
417 |EDS 010551-040455                  |*  |01 08 23.0 -03 48 54                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
418 |BD-02 204                          |*  |01 22 12.3100993632 -01 34 50.861713512|     ~   |12.090   |10.649   |     ~   |     ~   |M              |   5|   0
419 |[SLB2015] 20933                    |*  |22 17 26.7720050328 +00 14 05.360517996|     ~   |     ~   |     ~   |20.6     |     ~   |M              |   2|   0
420 |[SLB2015] 20224                    |*  |22 17 24.8635290744 +00 13 57.874206000|     ~   |     ~   |     ~   |21.5     |     ~   |M              |   3|   0
421 |AG+00 2791                         |*  |22 14 44.8202618808 +00 41 29.273401032|     ~   |11.9     |10.0     |     ~   |     ~   |M              |   1|   0
422 |[CSH96] SSA 22 61                  |*  |22 17 38.596 +00 15 57.11              |     ~   |     ~   |     ~   |23.0     |     ~   |M              |   3|   0
423 |SDSS J221805.47+001833.1           |*  |22 18 05.471 +00 18 33.19              |     ~   |     ~   |     ~   |22.0     |     ~   |M              |   2|   0
424 |[SLB2015] 10323                    |PM*|22 17 52.6565264256 +00 17 55.250703420|     ~   |     ~   |     ~   |20.9     |     ~   |M              |   2|   0
425 |SDSS J221749.60+001807.6           |*  |22 17 49.606 +00 18 07.61              |     ~   |     ~   |     ~   |22.1     |     ~   |M              |   2|   0
426 |SDSS J221748.10+002112.8           |*  |22 17 48.101 +00 21 12.83              |     ~   |     ~   |     ~   |22.4     |     ~   |M              |   2|   0
427 |[SLB2015] 30428                    |*  |22 17 44.5302015600 +00 21 21.470208768|     ~   |     ~   |     ~   |20.7     |     ~   |M              |   2|   0
428 |DO 7840                            |*  |22 34 28.7822845632 +01 21 38.963295684|     ~   |12.15    |10.46    |     ~   |     ~   |M              |   1|   0
429 |BD-00 61                           |*  |00 25 59.3031633744 +00 20 35.815559856|     ~   |12.29    |11.05    |     ~   |     ~   |M              |   2|   0
430 |BD+00 135                          |s*r|00 53 16.5335661480 +00 48 28.923727032|14.226   |12.234   |10.598   |9.700    |8.792    |M              |   5|   1
431 |SN 2000dh                          |*  |00 01 03.8433436008 +04 30 05.434554672|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   1
432 |TYC 575-708-1                      |*  |22 56 42.6354979152 +06 36 43.070574240|     ~   |12.36    |10.81    |     ~   |     ~   |M              |   1|   0
433 |V* DN Psc                          |LP?|23 47 13.8051350472 +07 05 13.322449680|     ~   |12.30    |10.52    |10.049   |     ~   |M              |   7|   0
434 |RX J0019.2+0748                    |*  |00 19 15.27 +07 48 20.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
435 |BD+05 4710                         |*  |21 08 25.4542751880 +06 24 29.049943500|     ~   |11.53    |10.11    |     ~   |     ~   |M              |   0|   0
436 |BD+08 5035                         |*  |23 17 27.5216259912 +08 58 14.313953424|     ~   |11.61    |10.25    |     ~   |     ~   |M              |   1|   0
437 |BD+07 283                          |*  |01 49 18.3805953144 +08 17 56.611936860|     ~   |11.63    |10.15    |     ~   |     ~   |M              |   1|   0
438 |V* TU Psc                          |LP*|00 11 39.5917078896 +12 05 53.217762000|     ~   |12.84    |11.34    |     ~   |11.63    |M              |   6|   0
439 |V* V337 Peg                        |LP*|22 57 00.2382734712 +14 25 08.133825972|     ~   |9.40     |7.80     |     ~   |     ~   |M              |  15|   0
440 |2MASS J00263301+1708492            |*  |00 26 33.0364634928 +17 08 48.837722136|     ~   |     ~   |     ~   |     ~   |18.748   |M              |   5|   0
441 |2MASS J00264027+1709320            |*  |00 26 40.2874043520 +17 09 32.120089812|     ~   |     ~   |     ~   |     ~   |17.515   |M              |   5|   0
442 |LP 405-58                          |PM*|00 44 48.2388325200 +18 30 40.527029628|     ~   |15.0     |     ~   |13.3     |     ~   |M              |   8|   0
443 |Ross 326                           |PM*|02 09 09.0989257080 +14 35 35.985471108|     ~   |14.92    |13.45    |12.96    |     ~   |M              |  12|   0
444 |LP 457-15                          |PM*|21 13 01.6311555768 +15 48 33.381033300|     ~   |16.3     |     ~   |14.2     |     ~   |M              |   8|   0
445 |[AUO2003] J232638.39+220555.3      |*  |23 26 38.39 +22 05 55.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
446 |RX J0143.6+1915                    |Y*?|01 43 36.0221386224 +19 15 30.912723612|     ~   |15.79    |14.47    |14.20    |     ~   |M              |   3|   0
447 |G 69-26                            |PM*|00 50 26.9566461935 +23 56 49.073531333|     ~   |16.37    |14.87    |13.8     |     ~   |M              |  14|   0
448 |V* OU Peg                          |LP*|21 59 49.5883140624 +23 56 27.156740172|     ~   |8.39     |7.07     |     ~   |     ~   |M              |  18|   0
449 |2MASSs J0253511+202808             |*  |02 53 51.15 +20 28 08.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
450 |2MASSs J0253530+194517             |*  |02 53 53.09 +19 45 18.0                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
451 |2MASSs J0254108+201804             |*  |02 54 10.90 +20 18 04.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
452 |2MASSs J0254151+202218             |*  |02 54 15.13 +20 22 18.6                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
453 |GSC 01230-00880                    |*  |02 54 47.1903897096 +20 29 18.532950000|     ~   |     ~   |12.9     |     ~   |     ~   |M              |   2|   0
454 |2MASSs J0255516+201807             |*  |02 55 51.65 +20 18 07.9                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
455 |2MASSs J0256007+194046             |*  |02 56 00.72 +19 40 46.1                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
456 |2MASSs J0256087+193344             |*  |02 56 08.78 +19 33 44.9                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
457 |2MASSs J0256129+202915             |*  |02 56 12.94 +20 29 15.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
458 |GSC 01227-01126                    |*  |02 56 46.2475969872 +19 33 51.848946324|     ~   |     ~   |13.3     |     ~   |     ~   |M              |   3|   0
459 |GSC 01227-00331                    |*  |02 56 48.1427701368 +19 32 04.508591532|     ~   |     ~   |13.8     |     ~   |     ~   |M              |   3|   0
460 |2MASSs J0256598+200215             |*  |02 56 59.85 +20 02 15.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
461 |2MASSs J0257159+202616             |*  |02 57 15.94 +20 26 16.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
462 |GSC 01227-00224                    |*  |02 57 21.4934388360 +19 47 30.621507684|     ~   |     ~   |12.4     |     ~   |     ~   |M              |   3|   0
463 |2MASSs J0257299+204308             |*  |02 57 29.94 +20 43 08.9                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
464 |2MASSs J0257391+193107             |*  |02 57 39.11 +19 31 07.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
465 |2MASSs J0257460+200055             |*  |02 57 46.05 +20 00 55.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
466 |2MASSs J0257474+192609             |*  |02 57 47.43 +19 26 09.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
467 |2MASSs J0257536+194325             |*  |02 57 53.60 +19 43 25.2                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
468 |2MASSs J0257540+202724             |*  |02 57 54.09 +20 27 24.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
469 |2MASSs J0257597+200343             |*  |02 57 59.72 +20 03 43.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
470 |2MASSs J0258046+193146             |*  |02 58 04.69 +19 31 46.9                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
471 |2MASSs J0258257+200824             |*  |02 58 25.78 +20 08 24.9                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
472 |2MASSs J0258458+201114             |*  |02 58 45.81 +20 11 15.0                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
473 |2MASSs J0259057+202309             |*  |02 59 05.71 +20 23 09.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
474 |GSC 01230-00873                    |*  |02 59 13.4245925880 +20 34 52.578156288|     ~   |13.81    |12.36    |12.13    |     ~   |M              |   2|   0
475 |2MASSs J0252368+193424             |*  |02 52 36.80 +19 34 24.2                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
476 |2MASSs J0252486+203908             |*  |02 52 48.63 +20 39 08.6                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
477 |2MASSs J0253030+194904             |*  |02 53 03.00 +19 49 04.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
478 |LP 411-16                          |PM*|02 53 03.1113678696 +19 29 07.451683836|     ~   |17.8     |     ~   |15.4     |     ~   |M              |   7|   0
479 |2MASSs J0253099+203849             |*  |02 53 09.92 +20 38 49.2                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
480 |2MASSs J0253243+200659             |*  |02 53 24.37 +20 06 59.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
481 |2MASSs J0254038+193136             |*  |02 54 03.87 +19 31 36.2                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
482 |2MASS J02550833+1938594            |*  |02 55 08.3132112588 +19 38 59.178316668|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
483 |2MASSs J0255350+200648             |*  |02 55 35.02 +20 06 48.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
484 |2MASSs J0257501+195830             |*  |02 57 50.17 +19 58 30.1                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
485 |UCAC4 552-005655                   |*  |02 57 58.5798417058 +20 22 08.069039111|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
486 |2MASSs J0258110+192908             |*  |02 58 11.03 +19 29 08.0                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
487 |LP 411-29                          |PM*|02 58 14.6401464000 +20 22 48.975926412|     ~   |16.9     |     ~   |14.7     |     ~   |M              |   7|   0
488 |2MASSs J0258343+200023             |*  |02 58 34.32 +20 00 23.6                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
489 |LP 411-33                          |PM*|02 59 12.9889846008 +20 05 49.485093252|     ~   |17.1     |     ~   |14.4     |     ~   |M              |   5|   0
490 |2MASSs J0252490+195252             |*  |02 52 49.09 +19 52 52.4                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
491 |2MASSs J0255056+194454             |*  |02 55 05.61 +19 44 53.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
492 |2MASSs J0255372+204311             |*  |02 55 37.26 +20 43 11.2                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
493 |2MASSs J0255452+192526             |*  |02 55 45.24 +19 25 26.1                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
494 |2MASSs J0258523+195840             |*  |02 58 52.39 +19 58 40.0                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
495 |LP 411-31                          |PM*|02 58 34.4931970659 +19 46 50.399478675|     ~   |20.5     |     ~   |17.4     |     ~   |M              |   8|   0
496 |GSC 01227-00386                    |PM*|02 55 21.5210947848 +19 46 14.884740408|     ~   |     ~   |14.332   |     ~   |     ~   |M              |   2|   0
497 |GSC 01227-00521                    |*  |02 55 23.1111102024 +19 41 45.115338912|     ~   |     ~   |13.706   |     ~   |     ~   |M              |   2|   0
498 |GSC 01230-00700                    |*  |02 55 38.6399462136 +20 24 43.690101012|     ~   |     ~   |13.983   |     ~   |     ~   |M              |   2|   0
499 |GSC 01227-00090                    |*  |02 57 43.9236199104 +19 33 36.756727020|     ~   |     ~   |13.395   |     ~   |     ~   |M              |   2|   0
500 |[COC99] 14                         |*  |01 16 23.367 +33 23 26.00              |     ~   |     ~   |22.03    |     ~   |     ~   |M              |   3|   0
501 |HD 335473                          |*  |21 01 47.0388826728 +29 26 41.004734640|     ~   |11.62    |10.19    |9.2      |     ~   |M              |   5|   0
502 |V* V2170 Cyg                       |LP*|21 42 22.7273566056 +34 04 08.573987316|     ~   |10.05    |8.47     |     ~   |     ~   |Ma             |   8|   0
503 |DO 21919                           |LP*|22 58 02.6653506048 +38 11 08.135376720|     ~   |13.10    |11.77    |     ~   |     ~   |M              |   4|   0
504 |TYC 2784-1363-1                    |*  |00 38 06.2261153616 +37 35 21.102519984|     ~   |11.78    |10.37    |     ~   |     ~   |M              |   2|   0
505 |TYC 3199-2691-1                    |*  |22 10 14.9381075304 +38 09 37.402501212|     ~   |11.91    |11.87    |     ~   |     ~   |M              |   1|   0
506 |BD+37 4704                         |*  |22 50 50.4499280496 +38 09 53.327953620|     ~   |12.89    |10.26    |     ~   |     ~   |M              |   1|   0
507 |1E 0100+40.6                       |*  |01 03 42.9 +40 52 46                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   0
508 |V* V1058 Cyg                       |LP*|21 02 14.5384930056 +34 46 32.831802012|     ~   |9.87     |8.48     |     ~   |     ~   |Mb             |   4|   0
509 |V* V2158 Cyg                       |LP*|21 26 17.6033949624 +35 50 21.298505568|10.900   |9.390    |7.800    |     ~   |     ~   |Ma             |  11|   0
510 |V* V2171 Cyg                       |LP*|21 46 46.3825110648 +37 39 28.759065768|     ~   |9.00     |7.26     |     ~   |     ~   |Ma             |  12|   0
511 |BD+39 4811                         |*  |22 20 39.4398222816 +40 12 06.190367256|     ~   |12.00    |10.46    |9.8      |     ~   |M              |   3|   0
512 |BD+35 482                          |*  |02 29 09.1613971296 +36 38 56.923909188|     ~   |11.88    |10.32    |16.4     |     ~   |M              |   3|   0
513 |V* GG Cnc                          |SB*|09 00 25.8677760840 +24 29 47.467332600|11.740   |9.880    |8.270    |     ~   |     ~   |Ma             |  11|   0
514 |V* GK Cnc                          |LP?|09 07 30.3740245320 +16 36 36.469187172|     ~   |10.65    |9.15     |     ~   |     ~   |Ma             |  13|   0
515 |LP 546-51                          |PM*|09 05 00.2879967288 +02 26 14.065316556|     ~   |     ~   |     ~   |13.44    |     ~   |M              |   8|   0
516 |V* BW Pyx                          |LP?|09 06 53.8530757008 -24 40 04.481476788|     ~   |11.42    |9.71     |     ~   |     ~   |M              |   3|   0
517 |CLS 11A                            |PM*|09 16 32.9658984144 +30 20 40.293120264|     ~   |     ~   |     ~   |15.0     |     ~   |M              |   2|   0
518 |CLS 11B                            |PM*|09 16 33.3279120168 +30 20 40.973413956|     ~   |     ~   |     ~   |15.5     |     ~   |M              |   1|   0
519 |CLS 12                             |PM*|09 18 06.4237938480 +29 03 58.556853360|     ~   |15.6     |     ~   |13.0     |     ~   |M              |   4|   1
520 |CD-35 5556                         |*  |09 18 19.4569186272 -36 19 24.381430788|     ~   |11.07    |9.44     |     ~   |     ~   |M              |   2|   0
521 |V* Z LMi                           |LP*|09 40 15.1531925352 +36 06 18.658404432|     ~   |12.69    |11.24    |10.539   |     ~   |M              |   7|   0
522 |CLS 15A                            |*  |09 44 28.1497363800 +32 55 23.794759776|     ~   |17.5     |     ~   |16.0     |     ~   |M              |   1|   0
523 |BD+05 2194                         |*  |09 34 08.2694946120 +04 56 22.481969064|     ~   |12.115   |10.554   |10.140   |     ~   |M              |   0|   0
524 |BD-22 2690                         |*  |09 42 34.5104169528 -22 53 08.084724108|     ~   |11.62    |9.96     |     ~   |     ~   |M              |   1|   0
525 |CD-25 7381                         |*  |09 39 27.5750221920 -25 49 35.981243256|     ~   |11.78    |10.27    |     ~   |     ~   |M              |   1|   0
526 |CLS 17                             |*  |09 51 42.8920093320 +34 14 49.854744924|     ~   |18.3     |     ~   |17.0     |     ~   |M              |   1|   0
527 |CLS 18                             |*  |09 51 43.7015588544 +34 12 12.403859544|     ~   |18.0     |     ~   |16.0     |     ~   |M              |   1|   0
528 |CLS 19                             |*  |09 51 44.6200774296 +34 09 25.934824692|     ~   |18.0     |     ~   |17.0     |     ~   |M              |   1|   0
529 |IRAS 09475+0838                    |RG*|09 50 14.7003922344 +08 23 56.450376132|     ~   |12.55    |10.26    |     ~   |     ~   |M              |   5|   0
530 |BD+07 2176                         |*  |09 45 07.3423168800 +06 29 49.840351800|     ~   |11.78    |10.40    |     ~   |     ~   |M              |   1|   0
531 |BD-22 2718                         |*  |09 47 40.7351598912 -23 20 14.980091100|     ~   |11.331   |9.980    |     ~   |     ~   |M              |   5|   0
532 |BD-22 2726                         |*  |09 48 38.1974887560 -23 02 40.502207112|     ~   |11.30    |10.17    |     ~   |     ~   |M              |   1|   0
533 |ASAS J100114-2353.6                |PM*|10 01 14.4148643232 -23 53 38.326741296|     ~   |13.124   |11.840   |11.608   |10.305   |M              |   8|   0
534 |V* FS Hya                          |LP*|10 07 37.7767284480 -16 41 10.984146288|     ~   |11.37    |9.87     |9.24     |     ~   |M              |   5|   0
535 |BD-16 3015                         |*  |10 18 39.5895788928 -17 32 33.594200016|     ~   |10.86    |9.32     |     ~   |     ~   |M              |  10|   0
536 |V* V437 Hya                        |LP*|10 15 53.2636874904 -26 29 06.406676124|     ~   |11.14    |9.86     |     ~   |     ~   |M              |   7|   0
537 |CLS 25                             |*  |10 22 21.1693682400 +34 49 52.059411624|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
538 |CLS 27                             |mul|10 29 10.687272 +35 40 51.83400        |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
539 |V* X Sex                           |LP*|10 23 30.9039046464 -07 05 16.917085284|     ~   |12.52    |10.91    |10.26    |     ~   |M              |   6|   0
540 |V* PV Hya                          |LP*|10 28 36.4078396416 -26 35 58.480042092|     ~   |11.08    |9.55     |     ~   |     ~   |M              |  12|   0
541 |CLS 28                             |PM*|10 36 37.7386616952 +36 51 35.103945744|     ~   |16.76    |15.28    |14.75    |     ~   |M              |   1|   0
542 |LP 316-277                         |PM*|10 33 06.646464 +28 37 48.51732        |     ~   |17.0     |     ~   |14.9     |     ~   |M              |   6|   0
543 |[AUO2003] J104027.50+204602.8      |*  |10 40 27.50 +20 46 02.8                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
544 |TYC 5495-1511-1                    |RG*|10 37 41.4094277832 -12 10 47.838551556|     ~   |12.521   |10.871   |10.545   |9.146    |M              |   7|   0
545 |G 58-19                            |PM*|10 47 52.3409931127 +20 20 31.085116321|     ~   |14.13    |13.37    |13.7     |     ~   |M              |  11|   0
546 |LP 431-12                          |PM*|10 47 07.1699302248 +20 04 35.805579204|     ~   |18.4     |16.86    |16.6     |     ~   |M              |   8|   0
547 |V* PZ Hya                          |LP*|10 44 48.9119990592 -24 04 55.678778076|     ~   |11.66    |10.41    |     ~   |     ~   |M              |  13|   0
548 |V* CC UMa                          |LP*|10 53 40.5869579664 +42 28 12.727859340|     ~   |12.21    |10.61    |     ~   |     ~   |M              |   5|   0
549 |CLS 32                             |*  |10 57 51.6062818440 +35 45 34.635004524|     ~   |     ~   |     ~   |16.00    |     ~   |M              |   1|   0
550 |CLS 33A                            |*  |11 01 29.2342987800 +31 18 40.645330596|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
551 |CLS 33B                            |*  |11 01 29.6544900264 +31 18 42.686996076|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
552 |FBS 1058+083                       |PM*|11 01 16.4061978432 +08 02 30.404525820|     ~   |15.73    |14.33    |13.87    |     ~   |M              |   3|   0
