C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:20

sptype='K'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
102 |BD+52 451                          |*  |01 51 56.6328963000 +53 29 12.547873212|     ~   |10.68    |9.59     |     ~   |     ~   |K              |   1|   0
103 |BD+54 446                          |*  |02 03 17.0878357560 +54 54 26.879488236|     ~   |11.64    |9.95     |     ~   |     ~   |K              |   1|   0
104 |HD 275610                          |*  |03 41 09.3805813656 +40 34 39.903121344|     ~   |11.90    |10.62    |     ~   |     ~   |K              |   2|   0
105 |HD 275715                          |*  |03 44 28.7781444312 +40 29 15.986212260|     ~   |11.81    |11.24    |     ~   |     ~   |K              |   2|   0
106 |HD 193288                          |*  |20 17 42.3771104976 +44 13 32.528059644|     ~   |9.66     |8.57     |     ~   |     ~   |K              |   2|   0
107 |BD+43 3504                         |*  |20 08 33.3318574392 +43 36 12.004720380|     ~   |11.91    |10.36    |     ~   |     ~   |K              |   0|   0
108 |BD+45 3087                         |*  |20 11 41.7903355272 +45 26 26.947317156|     ~   |11.20    |10.21    |     ~   |     ~   |K              |   1|   1
109 |HD 190492                          |*  |20 03 20.2851355656 +43 47 45.459284100|     ~   |10.78    |9.297    |     ~   |     ~   |K              |   5|   0
110 |HD 194862                          |*  |20 26 10.3718385192 +45 24 51.493737924|     ~   |9.58     |8.01     |     ~   |     ~   |K              |   2|   0
111 |HD 195939                          |*  |20 32 21.3141548904 +48 23 11.605975512|     ~   |9.40     |8.38     |     ~   |     ~   |K              |   2|   0
112 |BD+53 2610                         |PM*|21 22 43.2277079184 +54 17 40.990112412|     ~   |10.46    |9.27     |     ~   |     ~   |K              |   2|   0
113 |HD 208308                          |*  |21 53 37.6309067448 +57 47 20.157639720|     ~   |9.96     |8.80     |     ~   |     ~   |K              |   2|   0
114 |BD+56 2658                         |PM*|21 53 46.8864437760 +57 02 15.220111488|     ~   |11.67    |10.73    |     ~   |     ~   |K              |   1|   0
115 |TYC 3977-1955-1                    |*  |22 07 44.4441250608 +56 50 03.139105920|     ~   |11.50    |10.86    |     ~   |     ~   |K              |   1|   0
