C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
58  |IRAS 16511-4325                    |AB*|16 54 44.18952 -43 30 34.3872          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
59  |IRAS 16519-4206                    |OH*|16 55 27.5196623407 -42 10 49.061712785|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
60  |OH 342.01+00.25                    |OH*|16 53 04.8816650376 -43 32 47.335903620|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  23|   0
61  |OH 342.183+00.351                  |OH*|16 53 16.72824 -43 20 39.8076          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
62  |IRAS 16538-4135                    |OH*|16 57 23.6428592832 -41 39 56.970609552|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
63  |IRAS 16553-4219                    |OH*|16 58 52.2708688944 -42 23 56.545290744|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
64  |IRAS 16559-4252                    |AB*|16 59 25.96944 -42 57 06.0192          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
65  |IRAS 16584-4255                    |OH*|17 02 06.06048 -42 59 26.6280          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
66  |IRAS 16584-4245                    |AB*|17 02 02.38584 -42 50 07.7424          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
67  |OH 342.78-00.08                    |OH*|16 57 11.74896 -43 09 35.5680          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
68  |OH 343.38+00.25                    |OH*|16 57 47.53824 -42 29 20.6016          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
69  |IRAS 16563-4141                    |OH*|16 59 53.7040847016 -41 46 20.974119888|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
70  |OH 344.866+00.135                  |OH*|17 03 13.07856 -41 22 33.7620          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
71  |OH 344.905+00.115                  |OH*|17 03 25.77432 -41 21 26.9676          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
72  |IRAS 16519-4344                    |OH*|16 55 32.82048 -43 48 52.8156          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
73  |OH 344.93+00.01                    |OH*|17 03 56.15664 -41 23 58.3008          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  34|   0
74  |IRAS 17010-4323                    |OH*|17 04 40.6290191784 -43 28 00.260931864|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  10|   0
75  |IRAS 17005-4327                    |OH*|17 04 09.2894509950 -43 31 41.383793091|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
76  |IRAS 17009-4220                    |AB*|17 04 29.9269367712 -42 24 29.742855768|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
77  |OH 344.83-01.67                    |OH*|17 10 53.6583746568 -42 28 59.689159320|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  17|   0
