C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:19

sptype='F'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
61  |HD 187848                          |SB*|19 50 20.9649907056 +41 37 44.078824020|     ~   |9.18     |8.80     |     ~   |     ~   |F              |   4|   0
62  |BD+42 3472                         |dS*|19 48 22.7671973328 +43 04 40.193480152|     ~   |10.38    |9.99     |     ~   |     ~   |F              |   2|   0
63  |BD+49 3243                         |*  |20 16 47.3705834400 +49 41 54.075273252|     ~   |11.00    |10.51    |     ~   |     ~   |F              |   1|   0
64  |BD+51 2880a                        |*  |20 30 47.6569614384 +51 45 46.738145916|     ~   |11.33    |11.12    |     ~   |     ~   |F              |   1|   0
65  |Cl Trumpler 37 294                 |*  |21 11 54.8143087800 +57 15 51.481173168|     ~   |11.79    |11.22    |     ~   |     ~   |F              |   2|   0
66  |Cl Trumpler 37 327                 |*  |21 16 56.6158281912 +57 28 56.754253380|     ~   |12.7     |     ~   |     ~   |     ~   |F              |   1|   0
67  |Cl Trumpler 37 26                  |SB*|21 06 42.8239033680 +56 50 30.359039100|     ~   |12.77    |11.87    |     ~   |     ~   |F              |   2|   0
68  |Cl Trumpler 37 300                 |*  |21 12 37.9646817168 +57 27 55.620337680|     ~   |12.98    |12.15    |     ~   |     ~   |F              |   2|   0
69  |Cl Trumpler 37 41                  |*  |21 11 04.9772742120 +56 56 40.373092464|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
70  |Cl Trumpler 37 88                  |*  |21 21 26.1398373696 +56 43 39.201587724|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
71  |EM* GGR 31                         |Em*|21 35 06.9839720016 +57 35 03.674931468|     ~   |12.49    |11.73    |     ~   |     ~   |F              |  10|   0
72  |EM* AS 474                         |Em*|21 41 00.0809892000 +57 04 00.334257024|11.91    |12.09    |11.10    |     ~   |     ~   |F              |  15|   0
73  |Cl Trumpler 37 497                 |*  |21 41 51.1756520856 +57 37 37.011973188|     ~   |11.95    |11.21    |11.42    |     ~   |F              |   1|   0
74  |Cl Trumpler 37 458                 |*  |21 38 11.1033042480 +57 32 50.846886816|     ~   |12.4     |     ~   |     ~   |     ~   |F              |   1|   0
75  |Cl Trumpler 37 491                 |*  |21 41 14.4889530240 +57 30 35.215651764|     ~   |12.25    |11.50    |     ~   |     ~   |F              |   2|   0
76  |Cl Trumpler 37 395                 |*  |21 30 09.56 +57 35 49.6                |     ~   |12.7     |     ~   |     ~   |     ~   |F              |   1|   0
77  |Cl Trumpler 37 359                 |*  |21 23 52.1573377728 +57 14 44.758284072|     ~   |12.17    |11.52    |     ~   |     ~   |F              |   2|   0
78  |Cl Trumpler 37 656                 |*  |21 23 50.1936337224 +58 09 53.893987272|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
79  |Cl Trumpler 37 973                 |*  |21 30 00.7761577872 +58 32 56.601944988|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
80  |Cl Trumpler 37 1356                |*  |21 48 50.4305457480 +59 00 01.575519012|     ~   |11.98    |12.09    |     ~   |     ~   |F              |   2|   0
81  |Cl Trumpler 37 1549                |*  |21 42 17.6936726808 +59 18 03.979402488|     ~   |11.92    |11.64    |     ~   |     ~   |F              |   2|   0
82  |Cl Trumpler 37 1362                |*  |21 49 07.7122923624 +59 09 56.172492072|     ~   |12.52    |12.21    |     ~   |     ~   |F              |   2|   0
