,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
3281,K,0,10.05,8.77,0,0,8.374325,6.566,5.812
3282,O,0,0,0,0,0,0,8.703,6.394
3283,G,0,11.802,11.176,11.075,0,0,10.051,9.645
3284,G,0,11.98,11.43,0,0,10.997349,10.039,9.677
3285,O,0,0,0,0,0,17.378403,9.598,6.222
3286,B,0,11.25,10.55,0,0,10.365376,9.142,8.868
3287,K,0,0,0,0,0,15.196512,11.543,10.662
3288,K,0,11.06,9.72,0,0,9.336473,7.609,6.935
3289,A,0,9.63,9.47,0,0,9.524765,9.278,9.204
3290,G,0,10.83,10.17,0,0,0,8.881,8.467
3291,F,0,13.1,0,0,0,12.055255,10.835,10.396
3292,O,0,0,0,0,0,0,11.54,7.514
3293,A,0,11.83,11.61,0,0,11.707364,11.105,10.951
3294,O,0,0,0,0,0,0,14.549,8.143
3295,F,0,12.67,12.35,0,0,11.823926,10.635,10.352
3296,F,0,12.21,12.47,0,0,11.943314,10.995,10.734
3297,O,0,0,0,0,17.194,16.962576,9.867,6.118
3298,K,0,10.24,9.29,0,0,9.065643,7.672,7.126
3299,F,0,11.59,11.23,0,0,11.14233,10.506,10.324
3300,O,0,0,0,0,0,0,0,10.31
3301,O,0,0,0,0,0,13.434896,7.541,5.265
3302,O,0,0,0,0,0,19.587448,10.335,6.146
3303,K,0,11.5,9.94,0,0,9.326865,7.071,6.041
3304,K,18.324,0,15.71,0,14.13,15.191412,12.983,12.221
3305,B,0,12.88,12.0,0,0,11.619348,9.965,9.38
3306,A,0,9.16,9.08,0,0,9.053386,8.82,8.753
3307,B,0,11.87,11.53,0,0,11.678549,11.083,11.02
3308,A,0,12.21,12.12,0,0,11.746745,10.722,10.526
3309,G,0,10.57,10.01,0,0,9.82875,8.904,8.594
3310,M,0,17.77,0,15.2,0,15.341601,12.952,12.133
3311,M,0,19.0,0,0,0,17.230751,14.874,13.894
3312,K,0,11.02,10.12,0,0,9.89336,8.306,7.646
3313,K,0,0,0,0,0,13.517706,10.635,9.776
3314,O,0,0,0,0,0,17.907629,10.076,0
3315,M,0,11.83,9.95,0,0,9.048146,6.34,5.23
3316,F,0,10.43,10.11,0,0,10.214254,9.675,9.527
3317,O,0,0,0,0,0,0,0,10.108
3318,G,0,12.22,10.94,0,0,10.571153,8.682,7.871
3319,B,0,12.4,11.98,0,0,11.853528,10.736,10.526
3320,K,0,11.83,11.16,0,0,11.223759,10.346,10.045
3321,O,0,0,0,0,0,19.454668,12.241,8.154
3322,A,0,11.99,11.8,0,0,11.592915,10.778,10.631
3323,M,0,11.6,10.09,0,0,9.152902,6.382,5.258
3324,M,0,12.82,11.25,11.06,0,10.939069,9.01,8.29
3325,F,0,11.21,10.55,0,0,10.439544,0,0
3326,B,0,12.0,11.03,0,0,10.527909,8.659,8.254
3327,B,0,0,12.9,0,0,12.922505,12.004,11.835
3328,B,0,10.21,9.331,0,8.9269,9.949914,9.673,9.582
3329,G,0,9.89,9.33,0,0,9.274222,8.413,8.088
3330,M,0,0,0,0,0,12.625875,9.487,8.142
3331,B,0,11.09,10.74,0,0,10.451191,9.474,9.252
3332,O,0,0,0,0,0,0,14.056,9.16
3333,B,0,16.5,17.14,17.6,0,17.241047,0,0
3334,O,0,0,0,0,0,18.064333,9.604,5.776
3335,F,0,9.12,8.71,0,0,8.666432,8.006,7.782
3336,F,0,15.0,15.13,0,0,15.043259,14.326,14.059
3337,B,0,12.02,11.35,0,0,11.249272,9.669,9.36
3338,O,0,0,0,0,0,0,0,12.51
3339,G,0,10.88,10.31,0,0,10.150427,9.259,8.909
3340,K,11.18,10.14,9.02,0,0,8.728188,7.089,6.425
3341,K,0,11.83,10.29,0,0,9.475913,6.963,5.908
3342,K,0,12.26,11.21,0,0,10.91921,9.236,8.543
3343,B,12.24,11.6,11.3,0,0,11.123139,9.572,9.247
3344,K,0,0,0,0,0,0,0,0
3345,F,0,11.19,10.85,0,0,10.742003,10.097,9.921
3346,A,0,12.47,12.65,0,0,0,10.598,10.545
3347,K,0,13.05,11.43,0,0,11.238558,9.544,8.838
3348,G,0,9.7,9.13,0,0,9.019614,8.056,7.711
3349,K,0,11.53,10.14,0,0,9.705014,7.725,6.88
3350,M,0,12.26,10.76,0,0,10.34128,8.347,7.524
3351,A,0,9.17,9.06,0,0,9.036298,8.729,8.734
3352,B,0,12.57,12.09,0,0,11.863723,11.156,10.931
3353,F,0,12.54,12.24,0,0,12.014135,10.96,10.652
3354,F,0,10.03,9.69,0,0,9.585191,9.048,8.87
3355,F,0,11.48,10.87,0,0,10.643225,9.552,9.086
3356,M,0,12.21,10.9,0,0,8.761419,5.075,3.835
3357,G,0,9.94,9.4,0,0,9.318384,8.425,8.182
3358,K,0,11.5,10.86,0,0,10.826725,9.891,9.644
3359,K,0,10.0,0,8.8,0,9.064981,7.983,7.571
3360,G,0,12.39,11.45,0,0,11.443407,10.448,10.158
3361,A,0,8.66,8.35,0,0,8.315143,7.759,7.576
3362,A,0,11.42,10.17,0,0,9.776571,7.838,7.038
3363,O,0,0,0,0,0,0,13.929,5.99
3364,A,0,9.69,9.47,0,0,9.446714,8.975,8.859
3365,O,0,0,0,0,0,15.859028,8.058,4.848
3366,K,0,10.22,8.71,0,0,8.12954,5.911,4.9
3367,G,0,11.44,10.96,11.0,0,10.773415,9.793,9.488
3368,B,11.48,11.7,11.24,11.04,0,11.00014,9.805,9.565
3369,F,0,8.92,8.69,0,0,8.655259,8.188,8.054
3370,M,0,10.85,9.33,0,0,8.11216,5.168,4.065
3371,K,0,12.44,11.85,0,0,11.611682,10.202,9.643
3372,M,0,0,0,16.32,0,16.360334,14.586,13.899
3373,B,0,10.97,10.64,0,0,10.387952,9.303,9.122
3374,K,0,11.65,10.95,0,0,10.408413,9.045,8.523
3375,O,0,0,0,0,0,20.38332,14.304,10.68
3376,F,0,11.69,11.21,0,0,11.140726,10.38,10.151
3377,B,0,11.37,9.82,0,0,9.05733,6.636,5.635
3378,K,0,9.77,8.6,0,0,8.247619,6.498,5.843
3379,K,0,10.0,0,0,0,10.14678,8.038,7.153
3380,M,0,0,0,23.0,0,0,0,20.4
3381,B,0,11.89,11.2,0,0,10.809108,8.966,8.448
3382,A,0,10.0,0,0,0,11.826341,10.74,10.474
3383,A,0,9.61,9.21,8.7,0,9.134259,8.375,8.273
3384,G,0,9.89,9.32,0,0,9.195499,8.23,7.888
3385,K,0,12.12,11.56,0,0,11.041259,9.609,9.071
3386,M,0,12.24,10.33,0,0,9.306972,6.53,5.36
3387,G,0,11.67,10.98,0,0,10.849737,9.856,9.549
3388,A,0,10.69,10.18,0,0,10.086403,9.193,8.961
3389,B,11.69,11.8,11.0,0,0,10.690345,8.916,8.474
3390,O,0,0,0,0,0,0,0,8.079
3391,M,0,11.87,10.3,0,0,9.5115,7.028,5.962
3392,G,0,11.47,11.01,0,0,10.799959,9.879,9.52
3393,B,0,12.6,12.27,12.13,0,12.021569,11.432,11.034
3394,O,0,0,0,0,0,12.76897,6.979,4.671
3395,F,0,0,0,0,0,17.006935,15.881,15.461
3396,M,0,17.47,0,15.19,0,14.950334,11.886,10.685
3397,K,0,10.38,9.07,0,0,8.708088,6.834,6.07
3398,F,0,10.0,0,0,0,11.569023,10.565,10.369
3399,A,0,11.11,10.66,0,0,10.646106,10.044,9.873
3400,A,0,8.98,8.91,0,0,8.915439,8.758,8.723
3401,F,0,11.92,11.64,0,0,11.370214,10.503,10.237
3402,F,0,9.39,8.99,0,0,8.921243,8.162,7.933
3403,F,0,11.85,11.09,0,0,11.167504,10.076,9.786
3404,M,0,20.295,18.871,0,0,0,14.772,13.851
3405,A,0,11.66,11.2,0,0,11.559068,10.656,10.428
3406,O,0,0,0,0,0,0,0,7.864
3407,G,0,9.94,9.55,0,0,9.429342,8.669,8.459
3408,B,0,12.61,12.06,0,0,11.338596,9.677,9.336
3409,M,0,12.39,10.85,0,0,10.385529,8.452,7.594
3410,G,0,9.29,8.61,0,0,8.473737,7.41,7.065
3411,B,0,0,0,0,0,13.213443,12.428,12.299
3412,F,0,11.045,10.234,10.066,0,10.009861,8.598,8.319
3413,A,0,13.76,13.32,13.3,0,13.218792,12.532,12.302
3414,F,0,9.345,9.175,8.837,0,0,7.746,7.573
3415,M,0,12.3,10.52,10.049,0,9.706288,7.0,5.865
3416,B,0,11.55,11.05,0,0,10.812542,9.416,9.096
3417,O,0,0,0,0,0,10.761013,5.413,3.469
3418,B,0,12.33,11.79,0,0,11.515903,10.326,10.151
3419,G,0,11.99,11.25,0,0,11.113241,9.99,9.61
3420,M,0,0,0,20.7,0,20.124096,0,18.2
3421,G,0,10.17,8.96,0,0,8.399601,6.247,5.39
3422,F,0,9.42,9.0,0,0,8.936852,8.216,8.0
3423,M,0,0,0,0,0,0,0,0
3424,K,0,10.26,8.67,0,0,7.690137,5.007,3.922
3425,A,0,9.06,8.93,8.77,0,8.87029,7.546,7.433
3426,M,0,0,0,0,0,0,0,0
3427,K,0,11.58,10.46,0,0,10.12119,8.369,7.579
3428,A,0,0,0,0,0,0,0,0
3429,A,0,11.062,10.712,10.71,0,10.626633,9.928,9.766
3430,O,0,0,0,0,0,15.700389,7.641,4.474
3431,O,0,0,0,0,0,0,0,11.046
3432,F,0,11.9,11.6,0,0,11.331388,10.511,10.302
3433,F,0,10.8,9.97,0,0,9.739381,8.382,7.871
3434,B,0,13.09,12.26,12.04,0,11.85408,10.147,9.511
3435,F,0,9.54,9.24,0,0,9.192677,8.64,8.542
3436,M,0,15.75,13.22,12.19,0,10.788823,6.829,5.154
3437,B,0,15.5,0,0,0,15.18912,15.06,14.92
3438,A,0,11.4,11.52,0,0,11.109509,10.459,10.308
3439,K,0,10.09,8.49,7.8,0,7.919041,5.719,4.779
3440,M,0,12.74,10.77,10.02,0,9.955592,6.712,5.649
3441,M,0,0,0,0,0,14.003798,9.249,7.758
3442,G,0,9.61,9.16,0,0,9.066544,8.28,8.016
3443,F,0,11.05,10.62,0,0,10.86493,10.145,9.906
3444,M,0,13.79,11.49,10.91,0,9.991736,6.63,5.202
3445,K,0,12.16,11.43,0,0,10.982722,9.642,9.078
3446,G,0,12.27,11.64,0,0,11.74174,10.374,9.986
3447,M,0,11.82,10.462,0,0,9.398915,6.743,5.61
3448,O,0,0,0,0,0,11.927321,6.345,4.39
3449,B,0,12.6,12.6,0,0,11.726158,10.375,9.753
3450,M,0,12.27,10.74,0,0,10.133422,7.965,6.975
3451,M,0,17.0,15.0,0,0,13.984473,10.937,9.812
3452,M,0,0,0,0,0,12.575149,9.729,8.657
3453,K,0,12.27,10.66,0,0,9.915103,7.372,6.333
3454,M,0,13.6,11.21,10.582,0,9.674576,6.312,4.959
3455,M,0,0,0,0,0,18.446012,15.133,14.251
3456,K,0,11.95,10.52,9.894,0,9.494543,6.676,5.373
3457,A,0,9.21,9.06,0,0,9.020191,8.621,8.587
3458,B,0,0,16.1,0,0,16.547218,15.658,15.326
3459,K,0,11.57,10.35,0,0,9.954363,8.002,7.203
3460,F,0,12.17,11.27,0,0,10.830939,9.072,8.578
3461,O,0,0,0,0,0,19.172329,10.316,5.504
3462,G,0,13.91,0,12.9,0,12.94777,11.738,11.28
3463,F,0,12.34,11.63,0,0,11.707899,10.784,10.461
3464,K,0,12.23,11.09,0,0,10.257581,7.949,7.04
3465,A,0,9.59,9.41,0,0,9.480356,9.195,9.111
3466,O,0,0,0,0,0,0,0,13.365
3467,M,0,0,0,0,0,11.114248,6.261,4.84
3468,B,0,12.01,11.78,0,0,12.293393,11.823,11.565
3469,G,0,11.42,11.03,0,0,10.860318,9.942,9.675
3470,B,0,11.96,11.6,0,0,11.235128,9.861,9.535
3471,F,0,9.55,9.21,0,0,9.184367,8.707,8.544
3472,A,0,12.14,11.41,0,0,11.513571,10.136,9.837
3473,K,0,11.42,10.51,0,0,10.307336,8.691,8.005
3474,A,0,9.79,9.69,0,0,9.628829,9.306,9.256
3475,G,0,10.02,9.44,0,0,9.338978,8.365,8.091
3476,B,0,11.99,11.6,0,0,11.342938,10.356,10.071
3477,M,0,13.1,12.0,0,0,9.706108,6.572,5.328
3478,K,0,12.43,10.87,0,0,10.227162,8.016,7.089
3479,K,0,13.36,12.49,12.33,0,12.195351,10.457,9.181
3480,F,0,0,12.93,0,0,12.839935,11.902,11.617
3481,B,0,11.12,10.67,0,0,10.603727,9.673,9.526
3482,O,0,0,0,0,0,12.807384,6.944,4.652
3483,A,0,8.45,8.35,0,0,8.336851,8.084,8.061
3484,B,0,12.5,0,0,0,12.034297,10.774,10.503
3485,A,0,8.3,8.18,0,0,8.191749,7.369,6.891
3486,O,0,0,0,0,0,19.559088,9.556,6.083
3487,A,0,12.89,12.02,0,0,12.066222,10.892,10.609
3488,O,0,0,0,0,0,0,0,11.293
3489,O,0,0,0,0,0,0,0,0
3490,F,0,11.99,11.63,0,0,11.567143,10.589,10.274
3491,M,0,0,0,13.25,0,13.16305,11.773,11.368
3492,K,0,11.95,10.11,0,0,8.920983,5.901,4.737
3493,K,0,11.66,10.04,0,0,9.090481,6.379,5.225
3494,B,0,10.73,10.53,0,0,10.555016,10.417,10.38
3495,G,0,11.04,10.03,0,0,9.788946,8.181,7.545
3496,O,0,0,0,0,0,0,0,0
3497,B,0,12.21,11.4,0,0,11.207685,9.735,9.439
3498,K,0,12.86,10.46,0,0,9.793511,7.255,6.239
3499,O,0,0,0,0,0,18.556332,9.593,6.316
3500,M,0,0,0,0,0,0,0,0
3501,A,0,13.5,13.0,0,0,12.777275,11.238,10.832
3502,F,0,12.33,12.19,0,0,11.571217,10.41,10.105
3503,M,0,16.61,0,14.67,0,14.789038,12.177,11.045
3504,O,0,0,0,0,0,13.423999,5.217,2.78
3505,G,0,9.89,9.42,0,0,9.285376,8.455,8.169
3506,M,0,12.31,10.51,0,0,9.660706,7.069,6.003
3507,O,0,0,0,0,0,0,0,10.737
3508,F,0,10.03,9.87,0,0,9.857339,9.628,9.596
3509,G,0,17.9,0,16.6,0,16.837214,15.81,15.55
3510,G,0,12.16,12.11,0,0,11.302314,10.05,9.657
3511,A,0,8.98,8.88,0,0,8.863441,8.635,8.604
3512,G,0,11.99,10.84,0,0,10.314958,8.243,7.49
3513,G,0,12.06,11.51,0,0,11.18609,10.074,9.681
3514,K,0,12.31,10.84,0,0,10.119848,7.793,6.852
3515,A,0,9.96,9.64,0,0,9.735082,9.35,9.28
3516,O,0,0,0,0,0,19.892305,10.783,7.526
3517,M,0,12.2,10.03,0,0,8.915689,5.786,4.523
3518,K,0,11.62,10.72,0,0,10.368726,8.836,8.2
3519,F,0,11.09,10.66,0,0,10.685105,10.173,10.013
3520,M,0,13.71,11.89,0,0,10.021579,6.318,4.983
3521,K,0,11.81,10.68,0,0,10.313993,8.566,7.834
3522,A,0,11.21,10.89,0,0,10.96596,10.37,10.312
3523,K,0,12.25,11.16,0,0,10.516949,8.343,7.446
3524,K,0,0,18.8,0,0,0,0,0
3525,B,0,12.89,11.95,0,0,11.750328,10.328,9.953
3526,O,0,0,0,0,0,17.929487,10.143,6.91
3527,A,0,9.62,9.52,0,0,9.498592,9.204,9.18
3528,K,0,13.1,10.78,0,0,10.243775,7.744,6.748
3529,O,0,0,0,0,0,0,0,7.755
3530,M,0,0,0,0,0,19.83151,16.69,0
3531,G,0,10.54,10.04,0,0,9.940237,9.122,8.879
3532,F,0,0,14.86,0,0,14.774393,14.009,13.903
3533,A,0,11.65,11.19,0,0,11.116852,10.35,10.128
3534,B,0,0,12.82,12.22,0,12.405459,11.417,11.113
3535,A,0,0,12.51,12.42,0,12.266579,11.457,11.164
3536,F,0,9.35,8.98,0,0,8.970513,8.453,8.326
3537,G,0,0,0,0,0,0,0,0
3538,O,0,0,0,0,0,0,0,13.049
3539,G,0,11.48,10.85,0,0,10.56724,9.217,8.658
3540,F,0,0,13.87,0,0,13.768422,12.952,12.672
3541,O,0,0,0,0,0,15.739025,9.561,5.706
3542,F,0,0,0,0,0,17.614151,16.667,0
3543,A,0,12.153,11.532,11.484,0,0,10.299,10.042
3544,B,0,17.0,0,0,0,16.66003,16.19,0
3545,G,0,12.35,10.62,0,0,9.913687,7.669,6.719
3546,G,0,10.75,10.29,0,0,10.17645,9.417,9.192
3547,O,0,0,0,0,0,0,13.43,9.516
3548,B,9.49,10.03,9.1828,0,8.7606,9.858621,9.501,9.477
3549,F,0,9.51,9.05,0,0,8.94894,8.007,7.779
3550,O,0,0,0,0,0,0,0,8.203
3551,M,0,0,0,11.191,0,11.107988,9.171,8.403
3552,K,0,11.78,10.46,0,0,9.991219,7.989,7.174
3553,G,0,18.2,0,0,0,17.212307,16.015,15.437
3554,M,0,18.3,16.9,0,0,13.798299,10.805,9.885
3555,M,0,10.21,8.22,0,0,7.143459,4.4,2.98
3556,M,0,9.0,7.26,0,0,6.218081,3.36,2.196
3557,F,0,11.86,11.37,0,0,11.135697,9.991,9.661
3558,O,0,0,0,0,0,16.021646,8.287,5.195
3559,G,0,10.97,10.44,0,0,10.362838,9.354,9.015
3560,A,0,11.85,11.72,0,0,11.33722,10.54,10.412
3561,B,0,12.04,11.93,0,0,11.435507,10.496,10.281
3562,B,0,13.2,0,0,0,0,0,0
3563,B,0,10.64,10.33,0,0,10.206391,9.437,9.308
3564,M,0,12.07,10.28,0,0,9.553723,7.036,5.954
3565,O,0,0,0,0,0,15.533014,8.966,6.393
3566,F,0,10.0,0,0,0,11.558682,10.179,9.859
3567,K,0,11.78,11.26,0,0,11.17085,10.065,9.715
3568,G,0,11.88,11.41,0,0,11.22919,10.371,10.022
3569,A,0,9.11,8.99,0,0,9.01026,8.732,8.725
3570,M,0,11.53,10.11,0,0,9.512396,0,0
3571,A,0,9.9,9.65,0,0,9.605688,9.016,8.896
3572,M,0,14.242,12.379,0,0,10.596585,7.394,6.113
3573,F,0,13.35,12.87,0,0,12.715003,11.79,11.486
3574,G,0,10.8,10.19,0,0,10.108426,9.231,8.945
3575,O,0,0,0,0,0,11.46423,6.115,4.31
3576,O,0,0,0,0,0,0,0,8.581
3577,O,0,0,0,0,0,12.583301,5.825,3.66
3578,G,0,11.0,9.84,0,0,9.500559,7.778,7.116
3579,B,12.82,12.74,11.92,0,0,11.626651,9.992,9.445
3580,K,0,11.79,10.96,0,0,10.563842,8.977,8.279
3581,G,0,11.67,10.78,0,0,10.612309,8.839,8.204
3582,M,0,15.35,12.7,11.95,0,10.762087,7.0,5.499
3583,F,0,12.76,12.13,0,0,11.915,10.497,10.123
3584,F,0,11.76,11.39,0,0,11.410941,10.31,10.053
3585,B,0,12.8,12.8,0,0,12.7887,0,0
3586,M,0,0,0,0,0,0,13.89,11.79
3587,K,0,11.17,10.01,0,0,9.627526,7.835,7.104
3588,O,0,0,0,0,0,0,0,11.778
3589,M,0,16.3,0,14.3,0,14.002062,11.276,10.529
3590,G,0,17.6,0,0,0,17.413054,16.094,0
3591,G,0,9.95,9.51,0,0,9.430363,8.595,8.343
3592,F,0,12.25,11.34,0,0,10.952926,9.462,8.869
3593,A,0,11.35,11.16,0,0,11.215265,10.489,10.349
3594,K,0,11.99,10.72,0,0,10.446327,8.763,8.092
3595,A,0,9.65,9.49,0,0,9.404641,8.978,8.832
3596,A,0,11.78,12.02,0,0,11.383813,10.474,10.261
3597,A,0,11.84,11.63,0,0,11.251529,10.424,10.2
3598,K,0,10.3,9.27,0,0,9.047136,7.577,6.993
3599,O,0,0,0,0,0,0,15.916,8.455
3600,A,0,9.16,9.12,0,0,9.109764,8.925,8.907
3601,K,0,12.48,11.05,0,0,10.484314,8.498,7.778
3602,M,0,11.5,9.81,0,0,8.712236,5.872,4.668
3603,M,0,0,0,0,0,12.537028,9.23,8.053
3604,G,0,9.8,9.41,0,0,9.325855,8.585,8.368
3605,G,0,11.52,10.97,0,0,10.896296,10.101,9.871
3606,A,0,10.0,0,0,0,11.725843,10.944,10.795
3607,A,0,8.38,8.36,0,0,8.343163,8.262,8.266
3608,B,0,12.3,12.3,0,0,11.596712,10.407,9.861
3609,F,0,9.57,9.27,0,0,9.179623,8.567,8.376
3610,B,0,10.25,9.88,0,0,9.815703,9.098,8.978
3611,M,0,11.58,9.93,0,0,9.198795,6.834,5.807
3612,M,0,11.78,10.26,9.561,0,9.099235,6.222,4.992
3613,K,0,11.29,9.79,0,0,9.249659,7.123,6.232
3614,O,0,0,0,0,0,0,0,12.049
3615,F,10.1,9.94,9.57,0,0,9.475945,8.781,8.661
3616,B,0,11.31,11.01,0,0,11.092339,10.642,10.616
3617,K,0,11.26,10.47,0,0,10.157545,8.652,8.007
3618,A,0,9.62,9.18,0,0,9.068016,8.162,8.035
3619,F,0,11.7,0,0,0,11.762976,10.979,10.712
3620,F,0,10.0,9.6,0,0,9.547695,8.819,8.585
3621,A,0,12.22,11.57,0,0,11.425767,10.306,9.958
3622,F,0,9.05,8.63,0,0,8.612068,7.89,7.681
3623,F,0,10.44,9.94,0,0,9.840677,9.012,8.779
3624,O,5.91,6.65,6.45,0,0,6.369895,5.901,5.754
3625,K,0,10.83,9.21,0,0,8.662888,6.413,5.489
3626,F,0,9.44,9.19,0,0,9.151326,8.685,8.562
3627,G,0,10.43,10.05,0,0,9.956175,9.045,8.762
3628,F,0,11.94,11.59,0,0,11.194366,10.287,9.998
3629,O,0,0,0,0,0,0,0,7.582
3630,K,0,11.47,10.28,0,0,9.769162,7.743,6.971
3631,F,0,16.0,0,0,0,19.372871,13.305,12.245
3632,B,0,11.78,10.88,0,0,10.347055,8.144,7.461
3633,G,0,10.0,0,0,0,0,9.485,9.052
3634,F,0,0,0,0,0,17.19233,16.14,15.8
3635,B,0,10.13,10.01,0,0,9.828018,9.264,9.114
3636,A,0,9.32,8.85,0,0,8.746649,7.848,7.633
3637,A,0,0,0,0,0,0,0,0
3638,M,0,12.1,10.19,0,0,9.427371,6.949,5.885
3639,K,0,10.79,10.17,0,0,9.994557,9.061,8.731
3640,O,0,0,0,0,0,0,12.634,8.143
3641,K,0,11.37,10.65,0,0,10.522737,9.535,9.173
3642,K,0,9.4,8.38,0,0,8.102774,6.537,5.933
3643,A,0,12.15,11.93,0,0,11.651861,10.815,10.619
3644,A,0,10.0,0,0,0,11.635833,10.497,10.222
3645,B,0,12.95,11.91,0,0,11.647499,9.938,9.518
3646,M,0,0,0,0,0,0,0,0
3647,G,0,10.08,9.79,0,0,9.668061,9.045,8.842
3648,G,0,9.27,8.71,0,0,8.582737,7.663,7.394
3649,A,0,9.35,9.15,0,0,9.109066,8.449,8.182
3650,K,0,11.77,10.56,0,0,10.224654,8.223,7.435
3651,M,0,11.16,9.7,0,0,9.320864,7.441,6.61
3652,F,0,11.65,11.0,0,0,11.001481,10.068,9.856
3653,G,0,9.76,9.16,0,0,9.012959,8.041,7.659
3654,A,0,9.57,9.39,0,0,9.366907,8.865,8.814
3655,B,0,11.37,10.77,0,0,10.42849,8.984,8.631
3656,G,0,11.56,11.03,0,0,10.94402,10.138,9.946
3657,K,0,0,0,0,0,0,0,0
3658,K,0,12.19,10.42,0,0,9.643926,7.143,6.099
3659,G,0,9.62,9.12,0,0,8.978466,8.112,7.816
3660,B,0,16.06,15.99,16.3,0,16.057022,15.864,15.824
3661,O,0,0,19.084,0,13.061,15.233746,8.919,6.756
3662,K,0,11.33,10.07,0,0,9.598462,7.472,6.579
3663,O,0,0,0,0,0,0,0,11.561
3664,O,0,0,0,0,0,18.364697,10.396,6.314
3665,B,0,12.57,12.84,0,0,12.28236,11.158,10.954
3666,A,0,9.09,8.94,0,0,8.955,8.447,8.384
3667,M,0,0,0,0,0,11.893126,8.627,7.281
3668,F,0,10.92,10.31,0,0,10.205662,9.214,8.833
3669,A,0,11.68,11.18,0,0,10.971838,9.828,9.607
3670,F,0,9.97,9.74,0,0,9.699672,9.186,9.064
3671,F,0,11.35,11.19,0,0,10.769609,9.831,9.553
3672,M,0,11.61,10.0,0,0,9.310889,6.963,5.92
3673,M,0,12.56,10.58,8.46,0,7.664825,3.528,2.017
3674,G,0,10.0,0,0,0,11.222512,9.724,9.277
3675,M,0,15.7,0,0,0,10.390698,5.79,4.225
3676,O,0,0,0,0,0,16.662842,10.925,7.352
3677,A,0,0,0,0,0,17.398907,16.441,15.729
3678,G,0,9.92,9.39,0,0,9.234249,8.335,8.059
3679,B,0,12.44,12.35,0,0,11.942,10.733,10.575
3680,A,0,9.14,9.05,0,0,9.03474,8.777,8.722
3681,F,0,12.9,0,0,0,11.446505,9.866,9.47
3682,F,0,10.16,10.0,0,0,9.873003,9.415,9.291
3683,B,0,12.52,11.5,0,0,11.493389,10.005,9.721
3684,B,12.86,12.68,12.02,0,0,11.826881,10.691,10.362
3685,F,0,9.78,9.52,0,0,9.444474,8.845,8.713
3686,F,0,11.43,10.68,0,0,10.775291,9.631,9.364
3687,K,0,15.0,13.0,0,0,12.383325,10.245,9.429
3688,A,0,10.72,9.36,0,0,8.900667,6.958,6.129
3689,O,0,0,0,0,0,16.266485,8.316,5.062
3690,B,8.43,8.9,8.62,0,0,8.475216,7.686,7.612
3691,O,0,0,0,0,0,12.700417,7.484,5.317
3692,F,0,13.1,0,0,0,11.823471,10.447,10.117
3693,A,0,9.21,9.18,0,0,9.158861,9.003,9.048
3694,G,15.721,0,13.01,0,11.26,12.352159,9.904,8.911
3695,A,0,11.0,10.6,0,0,10.685181,10.215,10.093
3696,F,0,9.91,9.71,0,0,9.654279,9.275,9.179
3697,B,0,11.01,10.83,0,0,10.963363,10.868,10.924
3698,O,0,0,0,0,0,17.708555,9.35,5.413
3699,K,0,11.68,10.47,0,0,10.063659,8.203,7.421
3700,O,0,0,0,0,0,11.230102,6.392,4.772
3701,B,11.36,11.62,11.01,0,0,10.829718,9.672,9.449
3702,B,0,11.5,11.31,0,0,10.97109,10.182,9.744
3703,M,0,12.55,10.78,0,0,10.152956,7.908,6.908
3704,G,0,12.81,11.37,0,0,11.409804,10.12,9.638
3705,O,0,0,0,0,0,11.941694,6.056,3.873
3706,A,0,9.84,9.61,0,0,9.617148,9.242,9.123
3707,A,0,9.69,9.44,0,0,9.378492,8.704,8.368
3708,F,0,11.13,9.817,9.29,0,9.0657,6.336,5.588
3709,F,0,12.9,0,0,0,12.018079,10.915,10.597
3710,M,0,0,12.4,0,0,11.924595,9.565,8.776
3711,M,0,18.3,0,17.0,0,17.592035,15.925,15.183
3712,B,0,0,12.2,0,0,12.019112,10.949,10.686
3713,B,0,10.72,10.35,0,0,10.328011,9.594,9.54
3714,F,0,11.15,10.7,10.4,0,10.654422,9.811,9.541
3715,A,0,9.61,9.49,0,0,9.467759,9.144,9.109
3716,M,0,17.1,0,14.4,0,14.458412,11.869,11.111
3717,M,0,0,0,16.48,0,13.869048,9.572,8.039
3718,M,0,0,0,0,0,15.143412,12.332,11.13
3719,G,0,10.0,0,0,0,11.752443,9.924,9.211
3720,K,0,12.01,10.44,0,0,9.498916,6.718,5.503
3721,G,0,10.03,9.4,0,0,9.3164,8.356,8.006
3722,A,0,9.69,9.66,0,0,9.653321,9.51,9.535
3723,M,0,12.58,10.81,0,0,9.908939,7.161,6.002
3724,F,0,18.6,0,18.3,0,18.265932,0,0
3725,F,0,10.99,10.64,0,0,10.61378,9.889,9.679
3726,K,0,0,0,0,0,0,0,0
3727,K,0,11.38,9.7,0,0,9.068927,6.726,5.867
3728,M,0,0,0,0,0,12.410275,8.455,7.066
3729,A,0,8.83,8.77,0,0,8.732246,8.557,8.534
3730,K,0,10.12,9.15,0,0,8.898054,7.396,6.825
3731,A,0,9.63,9.59,0,0,9.612215,9.529,9.572
3732,B,11.29,11.6,11.3,0,0,10.870033,9.67,9.446
3733,M,0,0,0,16.3,0,12.508553,5.628,2.53
3734,M,0,16.81,0,14.74,0,14.859603,12.011,10.838
